Modulos com termos enriquecidos	Termos GO utilizados para enriquecimento neste modulo
143	GO:0071702,GO:0006950,GO:0065008,GO:0036211,GO:0006996,GO:0048519,GO:0048583,GO:0007017,GO:0051641,GO:0042221,GO:0005996,GO:0034220,GO:0006396,GO:0035556,GO:0044085
144	GO:0009605,GO:0006950,GO:0071702,GO:0015074,GO:0006399,GO:0032259,GO:0071248,GO:0016192,GO:0044419,GO:0009056,GO:0036211,GO:0070887
145	GO:0044085,GO:0007166,GO:0006468,GO:0006950,GO:0098732,GO:0071554,GO:0006629,GO:0007186,GO:0071702,GO:0042221,GO:0042180,GO:0090305,GO:0009605,GO:0009607,GO:0036211,GO:0015980,GO:0006996,GO:0009056,GO:0070647,GO:0006325,GO:0006396,GO:0009451,GO:0016311,GO:0070887
147	GO:0009056,GO:0030224,GO:0006950,GO:0009607,GO:0036211,GO:0044262,GO:0044282,GO:0006629,GO:0090407,GO:0006260,GO:0061919,GO:0055086,GO:0009628,GO:0016053,GO:0006396,GO:0032774,GO:0034220,GO:0016192,GO:0009698,GO:0015980,GO:0006996,GO:0032259,GO:0018205,GO:0006508,GO:0035493,GO:0071702,GO:0006468,GO:0022900,GO:0044085
148	GO:0032879,GO:0032259,GO:0006629,GO:0044419,GO:0009605,GO:0006950,GO:0009056,GO:0006366,GO:0032774,GO:0036211,GO:0034220,GO:0009628,GO:0018208,GO:0022900,GO:0042221,GO:0006790,GO:1990542,GO:0006468,GO:0009060,GO:0016311,GO:0006357,GO:0006996,GO:0009555,GO:0018193,GO:0071702,GO:0006508,GO:0006471,GO:0034660,GO:0044085
149	GO:0006996,GO:0036211,GO:0022613,GO:0044085,GO:0042254,GO:0032259,GO:0009056,GO:0016192,GO:0006950,GO:0006820,GO:0034220,GO:0006457,GO:0044262,GO:0006310,GO:0007017,GO:0009890,GO:0006629,GO:0006790,GO:0006260
150	GO:0042908,GO:0005996,GO:0036211,GO:0006396,GO:0009056,GO:0070592,GO:0071669,GO:0009605,GO:0006950,GO:0034660,GO:0033036,GO:0051641,GO:0034220,GO:0007017,GO:0044248,GO:0008213,GO:0071702,GO:0007049
151	GO:0009605,GO:0006950,GO:0034220,GO:0006081,GO:0009791,GO:0032502,GO:0007275,GO:0006508,GO:0015074,GO:0006468,GO:0035556,GO:0071702,GO:0006457,GO:0048519,GO:0044085,GO:0071554,GO:0036211,GO:0042908,GO:0009056,GO:0070727,GO:0015979,GO:0015980
154	GO:0055086,GO:0036211,GO:0006468,GO:0044248,GO:0009056,GO:0006950,GO:0072593,GO:0042743,GO:0042773,GO:0008037,GO:0032259,GO:0032196,GO:1901292,GO:0046386,GO:0009262,GO:0006195,GO:0009166,GO:0048519,GO:0031407,GO:0016053,GO:0032774,GO:0034220,GO:0071702,GO:0065009,GO:0006629,GO:0048518,GO:0007017,GO:0090407,GO:0033354,GO:0032502,GO:0098655,GO:0009141,GO:0006996,GO:0006396,GO:0006278,GO:0071897,GO:0006457,GO:0009617,GO:0015074,GO:0090305
155	GO:0065008,GO:0006325,GO:0048519,GO:0006629,GO:0036211,GO:0090407,GO:0030149,GO:0016139,GO:0048583,GO:0048509,GO:0000003,GO:0006996,GO:0071554,GO:0044262,GO:0009719,GO:0042221,GO:0006950,GO:0032502,GO:0009056,GO:0071702,GO:0032259,GO:0090305,GO:1900087,GO:0014910,GO:0009820,GO:0035556,GO:0044085,GO:0007017,GO:0016053,GO:0006396,GO:0006468,GO:0006665,GO:0042180,GO:0044255,GO:0046519,GO:0022900,GO:0032774,GO:0055086,GO:0009607,GO:0006952,GO:0033036,GO:0051301,GO:0006457,GO:0034220,GO:0022613,GO:0042254,GO:0061919,GO:2000034,GO:2000033,GO:0071897,GO:0051169,GO:0046487,GO:0009605,GO:0006508,GO:0009737,GO:0051641,GO:0016071,GO:0016051,GO:0015074,GO:0065009,GO:0070887,GO:0071555,GO:0045229,GO:0044264,GO:0050793,GO:0044419,GO:0006357,GO:0034976,GO:0034660,GO:0038146,GO:0006790,GO:0005996,GO:0010629,GO:0015980,GO:0048518,GO:1990542,GO:1902679,GO:0006260,GO:0016192,GO:0044248,GO:0032042,GO:0003006,GO:0051128,GO:0007010,GO:0006812,GO:0030258,GO:0009808,GO:0046365,GO:0009451,GO:0006753,GO:0009411,GO:1901293,GO:0010082
