Accession	Run	Strandness	Raw Reads	Trimmed Reads	% Trimmed	Mapping Rate
ERR5979921	Internode_Ex-5_37-weeks_Q151	ISR	65,499,846	58,176,680	11.18	95.94
ERR5882599	Internode_5_19-weeks_Q155	ISR	70,541,218	66,208,816	6.14	97.55
ERR5883111	Internode_5_19-weeks_Q155	ISR	66,153,896	63,121,266	4.58	98.12
ERR5883695	Internode_5_19-weeks_Q155	ISR	63,114,730	57,297,850	9.22	97.85
ERR5919475	Internode_5_37-weeks_Q155	ISR	70,404,020	66,346,552	5.76	97.96
ERR5954098	Internode_5_37-weeks_Q155	ISR	61,889,754	55,590,162	10.18	97.96
ERR5954110	Internode_5_37-weeks_Q155	ISR	74,505,566	66,417,000	10.86	97.83
ERR5881985	Internode_8_19-weeks_Q155	ISR	58,515,114	53,713,044	8.21	97.95
ERR5906598	Internode_8_19-weeks_Q155	ISR	75,307,846	70,361,902	6.57	97.72
ERR5906716	Internode_8_19-weeks_Q155	ISR	82,714,180	77,155,182	6.72	97.98
ERR5948280	Internode_8_37-weeks_Q155	ISR	71,417,736	66,981,574	6.21	97.92
ERR5954221	Internode_8_37-weeks_Q155	ISR	69,679,156	62,624,176	10.12	97.95
ERR5981715	Internode_8_37-weeks_Q155	ISR	68,475,280	60,464,368	11.70	96.19
ERR5948419	Internode_Ex-5_37-weeks_Q155	ISR	69,258,394	64,829,606	6.39	96.76
ERR5954123	Internode_Ex-5_37-weeks_Q155	ISR	65,646,298	57,146,280	12.95	96.94
ERR5957085	Internode_Ex-5_37-weeks_Q155	ISR	70,703,414	66,063,714	6.56	97.41
ERR5881766	Internode_5_19-weeks_Q157	ISR	65,622,828	61,188,550	6.76	98.27
ERR5883918	Internode_5_19-weeks_Q157	ISR	66,769,804	63,948,592	4.23	98.23
ERR5900082	Internode_5_19-weeks_Q157	ISR	75,521,260	69,699,218	7.71	98.45
ERR5948291	Internode_5_37-weeks_Q157	ISR	65,692,452	61,994,594	5.63	97.8
ERR5959253	Internode_5_37-weeks_Q157	ISR	73,746,436	69,728,648	5.45	98.09
ERR5978222	Internode_5_37-weeks_Q157	ISR	58,441,456	42,753,708	26.84	97.23
ERR5881673	Internode_8_19-weeks_Q157	ISR	63,353,902	58,742,782	7.28	97.99
ERR5906604	Internode_8_19-weeks_Q157	ISR	88,305,914	80,586,334	8.74	98.24
ERR5917041	Internode_8_19-weeks_Q157	ISR	72,356,954	66,549,242	8.03	97.94
ERR5959255	Internode_8_37-weeks_Q157	ISR	68,011,256	64,872,930	4.61	97.3
ERR5976733	Internode_8_37-weeks_Q157	ISR	76,541,048	71,481,662	6.61	97.62
ERR5978239	Internode_8_37-weeks_Q157	IU	82,766,304	73,486,022	11.21	97.24
ERR5948284	Internode_Ex-5_37-weeks_Q157	ISR	66,979,952	61,443,032	8.27	96.08
ERR5950935	Internode_Ex-5_37-weeks_Q157	ISR	57,230,024	49,512,968	13.48	96.45
