Module	Genes	Genes_coding	Genes_ncRNA	Genes_lncRNA
1460	93	65	8	20
1462	92	77	8	7
1463	87	67	1	19
1464	96	83	2	11
1465	142	121	9	12
1466	138	123	2	13
1467	221	192	6	23
1468	203	199	3	1
1469	209	191	0	18
1470	182	169	8	5
1471	141	117	14	10
1472	278	240	4	34
1473	523	497	12	14
1474	371	281	31	59
1475	391	374	2	15
1476	319	279	9	31
1477	213	186	2	25
1478	534	495	14	25
1479	361	292	20	49
1480	446	365	35	46
1481	316	242	21	53
1482	359	303	7	49
1483	408	332	17	59
1484	446	374	18	54
1485	748	653	29	66
1486	696	533	46	117
1487	473	282	115	76
1488	1251	1075	56	120
1537	35	32	1	2
1549	44	27	8	9
1555	27	21	1	5
1556	31	25	1	5
1557	28	22	0	6
1580	75	47	23	5
1581	76	49	23	4
1587	117	102	10	5
1591	266	232	14	20
1677	39	28	4	7
1698	36	21	13	2
1776	286	235	23	28
1780	179	105	23	51
1783	266	238	7	21
1784	262	228	7	27
1785	258	224	4	30
1786	221	167	13	41
1789	204	182	11	11
1790	77	53	5	19
1791	179	166	4	9
1793	137	130	4	3
1797	86	40	3	43
1799	60	56	0	4
1804	125	101	0	24
1805	105	94	2	9
1806	52	32	12	8
1807	1038	929	47	62
1809	140	131	0	9
1812	135	121	5	9
1814	86	82	0	4
1815	46	37	3	6
1821	106	103	0	3
1825	80	71	7	2
1828	43	41	0	2
1829	66	54	9	3
1833	48	45	2	1
1838	60	58	0	2
1846	18	12	0	6
1847	131	113	0	18
1848	50	45	3	2
1849	24	9	9	6
1852	60	50	6	4
1853	53	50	0	3
1856	69	62	0	7
1863	20	8	3	9
1865	78	53	3	22
1868	43	34	0	9
1873	35	18	3	14
1874	27	18	0	9
1882	29	23	0	6
1916	55	48	0	7
1918	788	462	140	186
1921	62	50	3	9
1922	1113	857	105	151
1924	10	3	0	7
1926	425	220	129	76
1927	1520	1058	276	186
1928	273	186	64	23
1929	21	9	6	6
1930	205	192	10	3
1931	91	85	0	6
1932	285	190	44	51
1933	73	41	17	15
1936	61	48	12	1
1939	140	131	0	9
1940	307	292	9	6
1941	234	200	7	27
1942	253	192	3	58
1943	350	270	7	73
1944	509	435	13	61
1945	30	23	0	7
1946	20	15	0	5
1947	537	489	16	32
1948	26	20	1	5
1949	248	184	7	57
1951	78	53	3	22
1952	34	29	0	5
1953	91	87	2	2
1956	359	309	16	34
1958	54	43	3	8
1959	48	42	3	3
1960	170	159	2	9
1961	89	74	12	3
1962	79	64	12	3
1964	58	35	8	15
1965	47	39	1	7
1966	143	113	4	26
1967	110	93	9	8
1968	84	70	0	14
1969	110	100	8	2
1970	188	178	8	2
1972	386	355	9	22
1977	157	144	4	9
1978	94	53	29	12
1985	60	36	20	4
1989	47	32	11	4
1995	38	20	0	18
1997	24	7	10	7
1998	26	24	1	1
1999	13	9	2	2
2000	19	6	7	6
2002	30	29	0	1
2005	34	32	0	2
2006	16	10	3	3
2007	48	45	2	1
2009	16	10	0	6
2011	52	49	2	1
2012	40	34	0	6
2014	97	96	0	1
2015	39	37	0	2
2016	47	43	0	4
2017	79	65	5	9
2018	100	94	5	1
2019	124	122	0	2
2020	98	92	0	6
2021	119	113	3	3
2023	369	307	12	50
2034	19	14	2	3
2035	29	6	0	23
2126	41	2	17	22
2127	32	2	17	13
2251	133	106	4	23
2252	277	237	2	38
2253	13	4	8	1
2260	148	127	6	15
2261	23	21	0	2
2262	79	78	0	1
2263	25	24	0	1
2296	22	13	6	3
2306	102	63	22	17
2310	8	1	5	2
2311	18	4	4	10
2312	20	17	0	3
2326	23	5	5	13
2328	33	28	0	5
2330	8	3	2	3
2332	14	11	2	1
2334	20	15	0	5
2338	39	35	2	2
2341	76	50	5	21
2343	50	49	0	1
2345	17	13	0	4
2347	75	67	3	5
2348	18	2	9	7
2349	44	30	2	12
2353	50	47	0	3
2355	24	10	0	14
2356	10	2	7	1
2357	29	24	0	5
2358	26	25	0	1
2359	29	12	4	13
2361	22	9	3	10
2362	84	83	0	1
2363	29	25	2	2
2364	183	160	0	23
2365	163	140	0	23
2367	14	12	0	2
2369	22	9	12	1
2370	172	163	0	9
2374	90	65	22	3
2375	115	85	23	7
2376	12	8	0	4
2377	14	3	9	2
2379	9	5	1	3
2383	382	339	10	33
2384	387	338	9	40
2390	41	36	2	3
2391	26	15	0	11
2392	15	7	0	8
2394	57	26	0	31
2395	75	72	1	2
2396	1357	1171	83	103
2397	943	803	54	86
2398	10	5	3	2
2401	19	8	0	11
2402	15	13	0	2
2405	46	44	0	2
2406	105	84	8	13
2407	76	59	8	9
2408	69	62	6	1
2409	100	82	17	1
2410	26	10	0	16
2411	38	20	0	18
2412	15	10	0	5
2428	27	21	2	4
2440	44	34	9	1
2441	36	10	19	7
2442	34	32	0	2
2444	41	23	15	3
2448	57	42	10	5
2450	68	48	7	13
2451	44	41	1	2
2452	63	60	2	1
2453	69	45	19	5
2454	34	22	0	12
2455	42	32	0	10
2457	65	28	19	18
2458	36	19	15	2
2464	67	47	7	13
2467	85	48	29	8
2472	57	31	8	18
2490	93	57	19	17
2500	106	64	20	22
2505	57	17	27	13
2508	91	63	21	7
2511	185	139	20	26
2514	141	78	48	15
2516	118	80	33	5
2517	153	99	37	17
2518	149	86	35	28
2519	148	111	34	3
2520	236	204	25	7
2521	142	69	33	40
2524	222	162	17	43
2525	240	165	57	18
2527	342	187	85	70
2530	221	128	66	27
2531	306	192	61	53
2533	363	201	100	62
2534	639	401	128	110
2536	583	374	129	80
2540	794	492	162	140
2541	627	378	137	112
2542	765	414	197	154
2547	1575	1007	318	250
2558	76	61	8	7
2559	31	29	0	2
2562	15	1	4	10
2571	67	52	9	6
2581	168	125	2	41
2587	29	23	0	6
2596	124	115	1	8
2597	139	130	1	8
2598	19	6	0	13
2603	17	16	0	1
2604	27	26	0	1
2610	16	9	6	1
2611	39	19	2	18
2614	21	19	1	1
2615	36	13	7	16
2622	149	90	11	48
2627	15	7	2	6
2630	39	30	0	9
2643	55	36	10	9
2644	38	25	6	7
2645	11	6	2	3
2646	18	5	2	11
2656	554	493	24	37
2657	516	459	20	37
2660	25	7	7	11
2661	34	25	8	1
2666	31	25	4	2
2668	23	20	2	1
2669	108	95	4	9
2671	205	149	14	42
2672	141	87	15	39
2685	112	73	22	17
2686	70	43	12	15
2691	67	61	3	3
2719	155	84	25	46
2722	156	68	50	38
2726	131	119	5	7
2743	1918	1177	407	334
2745	25	15	8	2
2746	20	12	1	7
2747	34	32	0	2
2761	74	27	36	11
2763	66	31	10	25
2768	98	83	11	4
2770	54	44	6	4
2773	225	218	0	7
2774	52	31	16	5
2780	112	82	0	30
2782	66	46	7	13
2783	207	199	2	6
2788	255	147	75	33
2793	292	212	38	42
2794	263	203	20	40
2796	156	79	52	25
2797	263	131	91	41
2800	386	274	68	44
2802	874	740	36	98
2803	537	351	85	101
2806	617	447	87	83
2809	740	454	160	126
2810	1689	1133	331	225
2811	5713	4778	322	613
2813	54	47	0	7
2814	116	70	7	39
2817	79	50	10	19
2818	37	36	0	1
2821	49	38	0	11
2822	29	26	2	1
2824	101	74	12	15
2825	130	103	12	15
2826	104	77	12	15
2827	42	32	5	5
2832	32	18	10	4
2835	154	144	7	3
2836	123	114	7	2
2837	26	17	0	9
2838	122	102	2	18
2841	69	67	0	2
2845	122	84	12	26
2849	188	180	5	3
2850	38	18	5	15
2857	24	22	0	2
2858	82	75	2	5
2861	46	40	0	6
2868	49	24	10	15
2869	77	36	22	19
2872	49	22	14	13
2885	75	67	5	3
2890	29	21	4	4
2894	71	63	6	2
2899	61	49	2	10
2900	61	54	0	7
2904	61	57	3	1
2905	41	30	3	8
2908	39	27	9	3
2912	49	17	2	30
2921	29	12	11	6
2927	33	24	0	9
2928	217	185	7	25
2929	96	85	7	4
2938	56	42	1	13
2949	35	23	6	6
2983	63	45	4	14
2988	30	21	4	5
2990	31	27	0	4
2998	46	40	0	6
3001	239	196	14	29
3002	175	142	14	19
3010	43	40	0	3
3011	68	56	0	12
3013	39	34	0	5
3018	41	38	0	3
3021	80	78	1	1
3025	66	55	3	8
3026	45	40	0	5
3028	103	75	4	24
3029	127	115	10	2
3031	118	107	3	8
3032	288	267	13	8
3036	30	24	1	5
3044	86	72	12	2
3045	25	13	7	5
3052	218	177	12	29
3056	81	72	4	5
3061	265	222	6	37
3062	496	377	19	100
3065	85	69	6	10
3070	58	37	15	6
3074	44	24	6	14
3075	62	49	0	13
3076	72	69	1	2
3077	73	67	0	6
3079	70	64	4	2
3081	80	67	8	5
3082	43	26	8	9
3083	80	78	1	1
3084	119	110	6	3
3086	90	61	7	22
3087	94	86	4	4
3088	128	108	0	20
3089	144	124	1	19
3090	99	65	11	23
3091	105	98	2	5
3093	174	163	7	4
3099	181	154	9	18
3100	176	168	3	5
3101	138	113	10	15
3102	147	130	5	12
3105	186	125	9	52
3106	84	51	19	14
3107	260	232	24	4
3108	185	146	10	29
3111	202	169	5	28
3113	235	208	7	20
3115	307	252	14	41
3118	345	308	9	28
3119	302	229	54	19
3121	367	279	42	46
3122	562	486	20	56
3125	71	65	3	3
3128	51	42	8	1
3129	535	414	17	104
3130	624	546	4	74
3136	1847	1535	62	250
3137	2088	1825	72	191
3138	26	19	4	3
3140	42	24	8	10
3142	56	49	2	5
3143	142	127	3	12
3146	44	30	3	11
3152	249	236	4	9
3153	224	190	18	16
3154	29	24	0	5
3157	52	49	1	2
3158	1022	894	45	83
3164	79	71	6	2
3165	26	14	2	10
3166	157	130	1	26
3167	40	22	0	18
3168	61	54	5	2
3170	28	10	9	9
3172	141	129	11	1
3182	67	61	4	2
3183	39	25	2	12
3184	64	47	12	5
3186	104	88	10	6
3187	68	61	4	3
3189	131	122	3	6
3194	268	208	41	19
3201	109	90	0	19
3202	38	34	3	1
3203	50	34	7	9
3204	119	88	4	27
3205	48	30	9	9
3206	133	125	7	1
3207	172	142	10	20
3211	62	36	8	18
3217	75	67	3	5
3218	53	40	12	1
3219	131	108	2	21
3228	73	69	0	4
3230	70	61	0	9
3234	57	37	17	3
3235	41	29	7	5
3238	26	23	0	3
3239	49	19	17	13
3242	76	70	5	1
3243	91	86	2	3
3244	77	59	14	4
3247	188	146	5	37
3248	352	251	16	85
3249	171	146	5	20
3250	131	111	3	17
3254	132	118	5	9
3256	111	89	4	18
3260	56	37	15	4
3263	52	36	2	14
3264	55	35	2	18
3269	97	53	11	33
3270	77	42	11	24
3275	113	92	6	15
3276	185	147	12	26
3277	151	114	12	25
3283	176	133	15	28
3289	71	48	3	20
3291	55	41	8	6
3293	126	110	9	7
3294	257	226	9	22
3296	41	22	2	17
3307	142	110	0	32
3309	57	45	0	12
3311	5438	4484	302	652
3316	86	68	3	15
3323	256	238	10	8
3324	544	492	11	41
3336	242	208	13	21
3339	27	23	0	4
3368	238	220	4	14
3371	46	43	2	1
3372	357	300	6	51
3374	46	43	2	1
3375	86	50	6	30
3383	80	51	10	19
3385	22	17	2	3
3389	155	130	6	19
3397	109	89	2	18
3403	59	43	3	13
3405	87	86	0	1
3408	76	55	6	15
3413	416	349	35	32
3414	328	252	47	29
3416	29	27	0	2
3418	29	27	0	2
3421	165	121	14	30
3424	95	42	37	16
3425	193	173	13	7
3436	409	329	35	45
3438	186	175	7	4
3444	18	13	1	4
3447	84	35	10	39
3458	329	280	16	33
3459	227	197	15	15
3463	328	262	11	55
3466	371	322	17	32
3471	20	13	0	7
3472	116	70	25	21
3480	350	288	33	29
3481	291	241	30	20
3489	41	27	11	3
3493	949	762	54	133
3494	704	554	47	103
3496	50	49	0	1
3499	191	143	25	23
3502	113	56	44	13
3507	982	896	10	76
3508	1003	889	22	92
3509	1017	928	13	76
3512	188	138	25	25
3516	150	103	33	14
3526	738	604	53	81
3542	2354	2030	103	221
3543	1702	1481	86	135
3547	20	13	4	3
3554	29	26	1	2
3558	31	10	0	21
3559	246	215	9	22
3563	282	248	9	25
3572	245	202	23	20
3576	148	74	39	35
3580	38	28	0	10
3581	37	14	0	23
3589	27	26	0	1
3592	14	12	1	1
3608	32	23	0	9
3611	289	244	12	33
3613	23	15	4	4
3626	224	84	43	97
3629	30	23	0	7
3632	510	428	33	49
3640	45	40	0	5
3643	38	32	0	6
3645	290	207	47	36
3647	45	33	7	5
3649	36	23	12	1
3650	51	47	0	4
3651	854	775	8	71
3652	14	12	0	2
3656	493	411	46	36
3657	14	1	5	8
3658	47	45	0	2
3661	8	5	2	1
3662	1360	1173	71	116
3663	17	4	3	10
3664	29	10	16	3
