Module	Genes	Genes_coding	Genes_ncRNA	Genes_lncRNA
2440	10	4	5	1
2441	13	3	7	3
2442	11	10	0	1
2444	14	7	6	1
2448	14	8	3	3
2450	14	7	1	6
2451	10	8	1	1
2453	17	7	7	3
2454	12	6	0	6
2455	10	7	0	3
2457	14	5	5	4
2458	14	7	6	1
2464	16	7	4	5
2467	27	10	12	5
2472	17	9	4	4
2490	25	12	4	9
2500	27	13	6	8
2505	28	6	13	9
2508	24	16	6	2
2511	32	17	6	9
2514	40	19	13	8
2516	39	25	11	3
2517	42	21	14	7
2518	43	21	13	9
2519	38	27	9	2
2520	44	33	7	4
2521	48	23	11	14
2524	50	27	9	14
2525	63	36	18	9
2527	102	46	33	23
2530	64	29	23	12
2531	97	58	22	17
2533	112	52	34	26
2534	169	86	40	43
2536	173	83	46	44
2540	230	116	58	56
2541	193	104	48	41
2542	257	103	68	86
2547	316	168	74	74
2559	6	5	0	1
2562	3	1	1	1
2571	10	3	4	3
2581	6	5	0	1
2596	24	20	1	3
2603	6	5	0	1
2610	7	3	3	1
2611	6	3	1	2
2614	2	1	0	1
2615	7	2	3	2
2622	15	10	2	3
2627	4	1	2	1
2630	6	3	0	3
2643	9	4	2	3
2644	6	4	1	1
2645	7	2	2	3
2646	7	2	1	4
2656	32	26	4	2
2668	5	3	1	1
2671	6	4	1	1
2691	9	5	2	2
2719	43	17	11	15
2722	52	19	18	15
2743	593	289	153	151
2745	8	4	3	1
2746	7	4	1	2
2747	9	8	0	1
2761	10	4	5	1
2763	15	5	5	5
2768	19	11	5	3
2770	13	6	5	2
2773	16	15	0	1
2774	8	4	3	1
2780	18	13	0	5
2782	21	14	4	3
2783	28	25	1	2
2788	7	2	3	2
2793	2	1	0	1
2796	60	27	22	11
2797	83	36	27	20
2800	100	55	21	24
2802	84	62	7	15
2803	144	74	29	41
2806	3	2	0	1
2809	217	104	61	52
2810	517	258	144	115
2811	754	546	73	135
2817	15	8	4	3
2818	8	7	0	1
2821	7	6	0	1
2832	8	4	3	1
2837	8	4	0	4
2841	8	7	0	1
2849	5	4	0	1
2850	7	4	1	2
2868	14	7	4	3
2869	8	3	3	2
2872	10	5	2	3
2894	5	2	2	1
2899	8	6	1	1
2912	13	4	2	7
2921	10	4	3	3
2927	9	6	0	3
2938	7	4	1	2
2949	9	4	2	3
2988	9	6	1	2
2998	10	7	0	3
3001	12	8	2	2
3011	4	2	0	2
3018	3	2	0	1
3021	9	7	1	1
3026	9	8	0	1
3028	11	8	1	2
3032	29	24	1	4
3044	4	1	2	1
3052	36	26	4	6
3056	5	2	1	2
3061	51	41	4	6
3062	22	12	4	6
3065	9	5	2	2
3074	9	6	1	2
3075	12	10	0	2
3077	10	8	0	2
3079	7	5	1	1
3081	9	6	1	2
3084	14	10	3	1
3086	12	8	2	2
3087	10	9	0	1
3088	11	8	0	3
3089	19	14	1	4
3090	20	13	2	5
3091	23	20	1	2
3093	23	19	2	2
3099	9	7	0	2
3100	15	12	0	3
3101	17	10	3	4
3102	15	12	1	2
3105	29	19	3	7
3107	27	19	6	2
3108	36	23	3	10
3111	36	30	2	4
3113	49	43	2	4
3115	46	37	2	7
3118	41	31	2	8
3119	52	35	12	5
3121	37	26	6	5
3122	65	52	4	9
3125	10	7	1	2
3129	52	40	2	10
3130	89	74	4	11
3136	154	114	7	33
3137	250	190	17	43
3138	11	6	3	2
3140	12	3	3	6
3146	11	7	1	3
3157	2	1	0	1
3158	6	4	0	2
3167	11	5	0	6
3170	11	3	4	4
3204	2	1	0	1
3205	15	8	3	4
3211	19	9	2	8
3235	16	10	3	3
3238	5	4	0	1
3239	17	4	8	5
3243	2	1	0	1
3244	6	1	3	2
3247	2	1	0	1
3256	17	9	2	6
3275	22	15	1	6
3276	13	8	2	3
3289	10	7	1	2
3291	10	7	2	1
3294	16	14	0	2
3311	18	12	1	5
3323	34	29	3	2
3324	23	20	1	2
3336	6	3	2	1
3375	26	14	4	8
3403	23	12	3	8
3413	22	13	6	3
3421	25	16	6	3
3425	27	21	5	1
3447	16	6	3	7
3463	40	26	4	10
3471	5	3	0	2
3472	33	14	11	8
3493	11	5	1	5
3499	3	2	0	1
3502	39	16	17	6
3507	64	48	3	13
3508	12	7	2	3
3512	43	22	9	12
3542	6	4	1	1
3547	5	2	2	1
3576	52	24	16	12
3581	6	5	0	1
3608	5	3	0	2
3611	14	11	1	2
3613	3	2	0	1
3626	63	22	17	24
3629	4	3	0	1
3640	3	1	0	2
3643	2	1	0	1
3645	77	43	18	16
3647	6	3	2	1
3657	5	1	2	2
3661	5	3	1	1
3663	5	2	1	2
3664	7	3	3	1
3697	49	36	8	5
3728	6	5	0	1
3773	31	22	4	5
3785	3	2	0	1
3793	3	1	0	2
3798	20	13	2	5
3805	4	2	1	1
3860	29	19	4	6
3861	3	2	0	1
3886	26	18	1	7
3910	7	6	0	1
3922	7	5	1	1
3933	24	16	1	7
3935	34	24	4	6
3938	7	5	1	1
3947	14	10	2	2
3952	7	6	0	1
3955	10	5	3	2
3956	2	1	0	1
3958	45	34	5	6
3964	43	24	9	10
3966	43	32	3	8
3970	29	22	6	1
3977	2	1	0	1
3980	13	11	1	1
3983	27	24	2	1
3993	4	3	0	1
3998	20	17	2	1
4003	13	10	0	3
4008	15	10	2	3
4009	16	13	0	3
4058	10	9	0	1
4062	24	19	1	4
4066	6	3	1	2
4080	8	5	2	1
4081	6	2	0	4
4126	8	5	1	2
4142	17	16	0	1
4143	6	2	2	2
4145	8	5	2	1
4154	4	2	0	2
4162	2	1	0	1
4164	3	2	0	1
4226	44	22	11	11
4229	6	5	0	1
4238	10	8	0	2
4260	3	2	0	1
4272	7	6	0	1
4276	34	29	1	4
4300	16	12	1	3
4307	5	3	1	1
4308	3	1	0	2
4310	9	8	0	1
4319	3	2	0	1
4344	7	5	1	1
4345	8	4	1	3
4346	5	3	0	2
4362	17	11	3	3
4381	7	6	0	1
4383	8	7	0	1
4398	8	5	1	2
4402	3	1	0	2
4412	6	3	2	1
4414	12	9	0	3
4416	5	3	1	1
4418	19	13	3	3
4419	3	1	1	1
4422	15	13	1	1
4423	19	14	3	2
4427	12	8	3	1
4428	10	6	0	4
4433	4	3	0	1
4438	7	3	2	2
4439	8	6	0	2
4450	106	79	14	13
4451	30	26	3	1
4456	20	14	1	5
4458	5	1	2	2
4461	9	6	1	2
4462	15	5	2	8
4463	11	3	2	6
4466	13	6	4	3
4469	11	5	3	3
4470	20	14	5	1
4472	26	7	10	9
4474	27	13	7	7
4475	35	32	2	1
4477	83	36	17	30
4478	76	16	41	19
4479	101	50	27	24
4480	20	14	2	4
4485	8	5	1	2
4491	7	5	0	2
4493	7	5	0	2
4495	6	4	1	1
4496	9	8	0	1
4497	13	6	3	4
4500	20	16	3	1
4502	17	12	0	5
4503	17	15	0	2
4506	19	11	3	5
4507	5	3	0	2
4508	29	20	5	4
4509	28	22	2	4
4510	26	17	5	4
4514	4	1	2	1
4515	10	7	1	2
4530	15	9	2	4
4532	19	14	1	4
4579	4	1	1	2
6027	2	1	0	1
6090	5	1	2	2
6159	2	1	0	1
6197	3	2	0	1
6222	5	2	2	1
6243	4	3	0	1
6272	7	4	1	2
6291	3	2	0	1
6312	5	3	1	1
6313	5	2	2	1
6314	6	2	2	2
6315	5	2	1	2
6316	5	2	2	1
6317	5	1	2	2
6318	5	2	1	2
6319	5	2	2	1
6320	5	2	2	1
6321	5	1	3	1
6325	7	3	2	2
6326	5	3	1	1
6331	5	2	0	3
6354	6	3	1	2
6367	6	2	3	1
6369	6	3	0	3
6370	6	1	4	1
6371	7	5	1	1
