Module	Genes	Genes_coding	Genes_protein_and_non_coding	Genes_ncRNA	Genes_lncRNA
1330	237	2	172	23	40
1331	259	11	191	22	35
1332	361	6	277	24	54
1337	6	0	6	0	0
1338	2	0	1	1	0
1340	13	0	12	0	1
1342	5	1	1	2	1
1343	8	0	8	0	0
1345	7	0	6	0	1
1346	6	0	6	0	0
1347	8	0	8	0	0
1348	6	0	4	2	0
1349	9	1	7	0	1
1350	7	0	5	0	2
1351	12	1	10	1	0
1352	15	0	11	2	2
1353	16	0	10	4	2
1354	9	0	8	0	1
1355	11	0	8	0	3
1356	7	0	5	0	2
1357	19	0	12	2	5
1358	21	0	19	1	1
1359	23	0	19	0	4
1360	14	0	11	1	2
1361	28	0	22	0	6
1362	24	0	19	1	4
1363	36	2	17	6	11
1364	24	1	18	1	4
1365	38	0	32	1	5
1366	31	0	20	2	9
1367	38	0	25	5	8
1368	33	0	24	3	6
1369	31	0	26	3	2
1370	48	2	41	1	4
1371	47	1	31	6	9
1372	53	3	34	4	12
1373	40	0	31	1	8
1374	48	2	36	2	8
1375	39	0	31	2	6
1376	94	8	65	8	13
1377	145	6	105	19	15
1378	130	6	92	8	24
1379	165	3	118	22	22
1388	3	0	3	0	0
1391	4	0	4	0	0
1392	2	0	1	0	1
1393	7	0	3	2	2
1394	5	0	5	0	0
1395	5	0	5	0	0
1396	5	1	3	0	1
1397	10	1	8	0	1
1398	9	0	5	2	2
1399	15	0	12	0	3
1400	34	1	22	4	7
1402	3	2	0	0	1
1403	6	0	4	1	1
1417	5	1	2	1	1
1418	6	0	2	1	3
1419	4	0	3	1	0
1420	6	0	5	0	1
1421	6	0	6	0	0
1424	2	0	2	0	0
1426	5	0	5	0	0
1428	6	1	4	0	1
1430	1	0	1	0	0
1432	5	2	1	2	0
1433	1	0	1	0	0
1434	4	0	3	0	1
1436	1	0	1	0	0
1437	3	0	1	0	2
1438	4	0	3	1	0
1439	7	0	5	1	1
1440	6	1	4	0	1
1441	6	0	5	1	0
1442	8	0	6	1	1
1443	2	0	2	0	0
1444	2	0	2	0	0
1445	13	0	9	2	2
1446	8	0	6	1	1
1447	3	0	2	0	1
1448	1	0	0	0	1
1449	5	1	3	0	1
1452	4	0	3	0	1
1453	16	2	8	5	1
1454	19	1	12	1	5
1455	17	0	12	3	2
1456	15	1	11	0	3
1457	18	1	13	2	2
1458	11	0	6	2	3
1459	11	0	10	0	1
1460	1	0	1	0	0
1461	1	0	1	0	0
1462	14	0	10	4	0
1463	17	1	8	1	7
1464	9	1	6	1	1
1465	5	1	4	0	0
1466	17	0	12	1	4
1467	27	1	19	2	5
1468	1	0	0	1	0
1469	3	0	3	0	0
1470	22	3	13	3	3
1471	35	1	24	6	4
1472	33	0	28	1	4
1473	45	1	32	6	6
1474	60	0	40	8	12
1475	65	1	55	2	7
1476	3	0	1	1	1
1477	44	2	31	1	10
1478	65	1	50	7	7
1479	42	1	27	6	8
1480	9	0	6	1	2
1481	62	1	43	6	12
1482	56	0	38	2	16
1483	58	3	38	6	11
1484	88	1	66	6	15
1485	106	0	79	8	19
1486	100	3	68	11	18
1487	148	21	46	53	28
1488	179	4	128	20	27
1557	2	0	2	0	0
1580	12	0	7	3	2
1581	2	0	1	0	1
1587	3	0	3	0	0
1590	4	0	4	0	0
1591	18	0	11	3	4
1677	4	0	2	0	2
1698	2	0	1	0	1
1776	51	3	33	9	6
1780	1	0	0	1	0
1783	17	0	12	2	3
1784	9	0	6	0	3
1785	30	0	19	3	8
1786	28	0	18	2	8
1789	2	0	2	0	0
1790	22	1	14	2	5
1791	25	1	19	2	3
1793	13	0	11	1	1
1797	2	0	1	0	1
1799	16	1	13	0	2
1804	8	0	6	0	2
1805	15	0	11	1	3
1806	14	1	7	3	3
1807	8	0	5	1	2
1809	16	1	9	0	6
1812	1	0	1	0	0
1814	4	0	3	0	1
1815	10	0	7	0	3
1821	10	1	8	0	1
1825	7	0	4	2	1
1826	11	0	8	3	0
1828	8	0	7	0	1
1834	2	0	2	0	0
1835	6	1	5	0	0
1838	1	0	0	0	1
1846	7	0	5	0	2
1848	6	0	5	1	0
1849	1	0	0	0	1
1852	14	2	7	3	2
1853	3	0	3	0	0
1856	8	0	6	0	2
1863	6	1	2	1	2
1865	5	0	1	1	3
1867	1	0	0	1	0
1869	4	0	4	0	0
1873	5	1	2	1	1
1882	1	0	1	0	0
1916	8	0	6	0	2
1921	5	0	3	1	1
1922	4	2	1	1	0
1924	5	0	1	0	4
1926	1	0	1	0	0
1929	8	1	2	2	3
1930	1	0	1	0	0
1941	3	0	3	0	0
1942	4	0	3	0	1
1945	5	3	1	0	1
1946	4	0	3	0	1
1947	3	0	2	1	0
1949	4	0	4	0	0
1952	1	0	1	0	0
1958	7	0	6	1	0
1966	9	0	7	1	1
1968	13	0	9	0	4
1972	62	2	47	4	9
1989	4	0	2	1	1
1997	8	1	2	2	3
1998	7	0	5	1	1
1999	5	1	1	1	2
2000	9	1	2	3	3
2002	3	1	2	0	0
2003	2	0	2	0	0
2004	5	1	3	1	0
2005	2	1	0	0	1
2006	4	0	2	1	1
2008	2	0	2	0	0
2011	7	0	5	1	1
2012	1	0	0	0	1
2014	8	0	7	0	1
2018	13	0	12	1	0
2019	10	1	7	0	2
2021	11	1	7	2	1
2023	1	0	0	1	0
2126	9	1	0	2	6
2251	27	0	18	1	8
2252	4	0	3	0	1
2253	5	0	2	2	1
2255	5	0	2	3	0
2257	5	2	2	1	0
2259	5	1	1	3	0
2260	4	0	3	0	1
2261	5	0	4	0	1
2296	5	1	2	1	1
2310	5	0	1	3	1
2311	6	1	1	1	3
2312	2	1	0	0	1
2327	2	0	2	0	0
2328	2	0	2	0	0
2330	5	0	1	2	2
2332	6	0	3	2	1
2338	3	0	1	1	1
2339	3	0	3	0	0
2340	1	0	1	0	0
2341	1	0	1	0	0
2343	2	0	2	0	0
2345	1	0	1	0	0
2348	5	0	1	2	2
2353	10	0	8	0	2
2354	6	0	0	2	4
2356	7	1	0	5	1
2358	5	0	4	0	1
2360	2	1	1	0	0
2361	3	0	2	1	0
2362	5	0	5	0	0
2364	1	0	1	0	0
2368	6	0	6	0	0
2369	5	0	2	2	1
2370	13	0	10	0	3
2371	2	0	2	0	0
2374	11	4	4	2	1
2375	9	4	2	1	2
2376	5	1	2	0	2
2377	5	1	1	1	2
2381	1	0	1	0	0
2383	51	1	39	4	7
2384	4	0	1	0	3
2388	7	1	5	1	0
2390	7	0	4	1	2
2391	2	0	2	0	0
2392	2	0	1	0	1
2394	4	0	3	0	1
2396	139	3	99	22	15
2397	2	0	2	0	0
2400	5	0	4	1	0
2401	5	0	4	0	1
2402	4	0	4	0	0
2406	20	0	14	2	4
2408	1	0	1	0	0
2409	6	0	5	1	0
2410	1	0	0	0	1
2413	1	0	1	0	0
2416	2	0	2	0	0
2420	5	0	5	0	0
2422	4	0	4	0	0
2428	7	0	3	1	3
2438	6	0	3	3	0
2440	10	3	1	5	1
2441	13	3	0	7	3
2442	11	2	8	0	1
2444	14	3	4	6	1
2445	11	5	3	3	0
2448	14	4	4	3	3
2450	14	2	5	1	6
2451	10	2	6	1	1
2452	9	1	7	1	0
2453	17	1	6	7	3
2454	12	2	4	0	6
2455	10	2	5	0	3
2457	14	1	4	5	4
2458	14	2	5	6	1
2464	16	3	4	4	5
2467	27	1	9	12	5
2472	17	1	8	4	4
2490	25	6	6	4	9
2500	27	3	10	6	8
2505	28	2	4	13	9
2508	24	3	13	6	2
2511	32	1	16	6	9
2514	40	7	12	13	8
2516	39	5	20	11	3
2517	42	7	14	14	7
2518	43	4	17	13	9
2519	38	12	15	9	2
2520	44	8	25	7	4
2521	48	4	19	11	14
2524	50	11	16	9	14
2525	63	7	29	18	9
2527	102	15	31	33	23
2530	64	6	23	23	12
2531	97	19	39	22	17
2533	112	20	32	34	26
2534	169	29	57	40	43
2536	173	22	61	46	44
2540	230	39	77	58	56
2541	193	21	83	48	41
2542	257	29	74	68	86
2547	316	55	113	74	74
2557	5	0	4	1	0
2558	5	0	4	1	0
2559	6	1	4	0	1
2562	3	0	1	1	1
2570	5	3	1	1	0
2571	10	0	3	4	3
2574	2	0	2	0	0
2581	6	1	4	0	1
2585	3	0	3	0	0
2596	24	1	19	1	3
2597	1	1	0	0	0
2600	5	0	4	1	0
2603	6	0	5	0	1
2604	6	1	5	0	0
2610	7	1	2	3	1
2611	6	0	3	1	2
2614	2	0	1	0	1
2615	7	0	2	3	2
2622	15	0	10	2	3
2627	4	0	1	2	1
2630	6	0	3	0	3
2637	3	0	2	1	0
2638	4	0	1	3	0
2639	5	0	5	0	0
2643	9	0	4	2	3
2644	6	0	4	1	1
2645	7	1	1	2	3
2646	7	1	1	1	4
2656	32	4	22	4	2
2668	5	0	3	1	1
2670	6	0	6	0	0
2671	6	0	4	1	1
2672	2	0	1	1	0
2686	1	0	1	0	0
2691	9	0	5	2	2
2719	43	6	11	11	15
2722	52	7	12	18	15
2726	3	0	2	1	0
2743	593	88	201	153	151
2745	8	1	3	3	1
2746	7	3	1	1	2
2747	9	2	6	0	1
2752	8	0	8	0	0
2761	10	1	3	5	1
2763	15	2	3	5	5
2768	19	3	8	5	3
2770	13	5	1	5	2
2773	16	2	13	0	1
2774	8	2	2	3	1
2775	17	9	3	5	0
2780	18	0	13	0	5
2782	21	3	11	4	3
2783	28	0	25	1	2
2788	7	0	2	3	2
2793	2	0	1	0	1
2796	60	11	16	22	11
2797	83	12	24	27	20
2800	100	14	41	21	24
2802	84	5	57	7	15
2803	144	14	60	29	41
2806	3	1	1	0	1
2809	217	30	74	61	52
2810	517	68	190	144	115
2811	754	16	530	73	135
2814	1	0	1	0	0
2817	15	2	6	4	3
2818	8	0	7	0	1
2821	7	0	6	0	1
2822	6	0	5	1	0
