Modulos com termos enriquecidos	Termos GO utilizados para enriquecimento neste modulo
938	GO:0009056,GO:0055086
940	GO:0006396
943	GO:0006325,GO:0009056,GO:0006357
945	GO:0006629,GO:0065009,GO:0032774,GO:0006950,GO:0042793
949	GO:0006457
951	GO:0006996
967	GO:0006950,GO:0044085
976	GO:0006950
977	GO:0006950
980	GO:0034220,GO:0006950
985	GO:0015979
986	GO:0005996,GO:0006629,GO:0006656,GO:0046470,GO:0006457
988	GO:0036211,GO:0006457,GO:0006950
989	GO:0006468,GO:0009415,GO:0009651,GO:0036211,GO:0006396,GO:0071702,GO:0006996,GO:0032259,GO:0006508,GO:0044262,GO:0042221,GO:0006457,GO:0006950,GO:0050776,GO:0071705,GO:0061024,GO:0098656,GO:0048519,GO:2000468,GO:0051172,GO:0065008,GO:0009056,GO:0071554,GO:0035556
990	GO:0006396,GO:0071702,GO:0006996,GO:0032259,GO:0036211,GO:0006468,GO:0006508,GO:0044262,GO:0042221,GO:0006457,GO:0050776,GO:0071705,GO:0061024,GO:0098656,GO:0048519,GO:0065008,GO:0009056,GO:0071554,GO:0035556
991	GO:0036211
994	GO:0006996,GO:0065009
998	GO:0055086
1000	GO:0033036,GO:0044085,GO:0036211,GO:0071702
1004	GO:0070525
1011	GO:0042873,GO:0071702
1026	GO:0009056,GO:0060548
1027	GO:0032502,GO:0006508
1028	GO:0006457,GO:0032774
1029	GO:0070716
1031	GO:0042221
1032	GO:0090407,GO:0009056
1034	GO:0005996,GO:0016053
1036	GO:0055086,GO:0006629
1045	GO:0006950
1047	GO:0009914
1048	GO:0044085,GO:0006996,GO:0006629,GO:0071702,GO:0048518
1052	GO:0007275
1055	GO:0043933,GO:0009056
1056	GO:0071897,GO:0006396
1060	GO:0036211,GO:0007275,GO:0048518,GO:0034220,GO:0006508
1062	GO:0071702
1064	GO:0016051,GO:0009056
1066	GO:0071554
1067	GO:0048507,GO:0006508,GO:0009894,GO:0071702
1070	GO:0006629
1071	GO:0009056,GO:0006950
1074	GO:0065009,GO:0000003,GO:0032259
1075	GO:0044085
1077	GO:0071702,GO:0044085
1079	GO:0080134,GO:0044419,GO:0006950,GO:0036211,GO:0010033,GO:0042221,GO:0044085,GO:0009607,GO:0071702
1080	GO:0016051,GO:0009056
1081	GO:0036211,GO:0032259,GO:0044085,GO:0000911,GO:0032774
1085	GO:0015979,GO:0009628,GO:0006950,GO:0006996
1092	GO:0036211,GO:0006413
1093	GO:0032502,GO:0007275
1097	GO:0048316,GO:0006396,GO:0009056,GO:0071705,GO:0036211,GO:0048519,GO:0065008,GO:1901565,GO:0006950,GO:0070727,GO:0044262,GO:0050776,GO:0044419,GO:0009607,GO:0009605,GO:0006508,GO:0071702
1100	GO:0034220
1101	GO:0006110,GO:0036211,GO:0071702,GO:0032502
1108	GO:0006996,GO:0036211
1109	GO:0044085,GO:0033013,GO:0034220
1112	GO:0006950,GO:0016192,GO:0071702,GO:0032502,GO:0036211,GO:0006629
1131	GO:0055086,GO:0090407,GO:0016053,GO:0051641
1140	GO:0006629,GO:0006753,GO:0006720,GO:0036211,GO:0022900,GO:0015074,GO:0051726
1147	GO:0006413,GO:0006950,GO:0006396,GO:0051641
1160	GO:0036211,GO:0071705,GO:0055086
1161	GO:0006950,GO:0090407
1163	GO:0006950
1165	GO:0032196
1173	GO:0036211,GO:0009056
1191	GO:0006886,GO:0009056
1194	GO:0009719
1199	GO:0036211,GO:0015980
1209	GO:0009664
1210	GO:0065008,GO:0071897
1211	GO:0032259,GO:0036211
1212	GO:0006996,GO:0034660
1213	GO:0098542,GO:0036211
1214	GO:0036211,GO:0009894,GO:0009605
1215	GO:0000302,GO:0006970
1216	GO:0006468,GO:0006950,GO:0006413,GO:0009056,GO:0065009
1218	GO:0044419,GO:0009605,GO:0006950,GO:0043207,GO:0036211
1219	GO:0071702,GO:0032196
1220	GO:0006950,GO:0009308
1221	GO:0009056,GO:0044085
1222	GO:0006310
1225	GO:0002181,GO:0036211,GO:0065008,GO:0048519
1226	GO:0006950,GO:0009056,GO:0006812,GO:0006325
1227	GO:0006508,GO:0006457,GO:0030163
1228	GO:0034660,GO:0036211
1229	GO:0006950,GO:0006457
1230	GO:0006950,GO:0036211,GO:0071702,GO:0009607,GO:0009605
1231	GO:0036211,GO:0044085,GO:0033341
1232	GO:0009791,GO:0006310,GO:0006396,GO:0036211,GO:0071897
1233	GO:0051301,GO:0006081,GO:0006396
1234	GO:0035556,GO:0006950,GO:0032870,GO:0071702,GO:0051649,GO:0032259,GO:0071897,GO:0036211
1235	GO:0036211
1236	GO:0098869,GO:0006950,GO:0044419,GO:0048519
1237	GO:0006508,GO:0016053,GO:0036211,GO:0071702
1238	GO:0090305,GO:0036211
1239	GO:0036211,GO:0006468,GO:0044085
1240	GO:0006325,GO:0009657,GO:0032544,GO:0006950,GO:0006629,GO:0032259,GO:0071897
1241	GO:0016053,GO:0006950,GO:0065009,GO:0043648,GO:0044085
1242	GO:0017004,GO:0006950,GO:0033013,GO:0071702
1243	GO:0006996,GO:0090407,GO:0006753,GO:0042221,GO:0032774,GO:0031407,GO:0036211,GO:0006508
1244	GO:0006950,GO:0006357,GO:0036211,GO:0009056,GO:0002181,GO:0090407,GO:0055086,GO:0022900,GO:0071702
1245	GO:0032502,GO:0009056,GO:0006950,GO:0071702,GO:0006629,GO:0006396
1246	GO:0036211,GO:0006468,GO:0009056,GO:0034220,GO:0032196,GO:0006313,GO:0042180
1247	GO:0065009,GO:0055086,GO:0006753,GO:0006357,GO:0006950,GO:0006396,GO:0071897,GO:0046786,GO:0016032
1248	GO:0009056,GO:0009152,GO:0006950,GO:0006278,GO:0036211,GO:0010033,GO:0070887,GO:0015074,GO:0071897,GO:0006508,GO:0071702
1249	GO:0036211,GO:0006950,GO:0009056,GO:0006952,GO:0071897,GO:0042221,GO:0006790
1250	GO:0009237,GO:0048518,GO:0032196,GO:0036211,GO:0061077,GO:0034337,GO:0009056,GO:0009605,GO:0006396,GO:0032259,GO:0065009,GO:0034220
1251	GO:0006950,GO:0044085,GO:0032774,GO:0044262,GO:0032259,GO:0051604,GO:0071702,GO:0055086,GO:0006812
1252	GO:0007017,GO:0009056,GO:0044248,GO:0033036,GO:0006950,GO:0042180,GO:0048583,GO:0036211,GO:0048519,GO:0080036,GO:0015074,GO:0048518,GO:0044262,GO:0015980
1254	GO:0006950,GO:0009605,GO:1901615,GO:0044262,GO:0036211,GO:0016053,GO:0009607,GO:0006396,GO:0006399,GO:1901575,GO:0071702,GO:0044085,GO:0006790
1255	GO:0006950,GO:0009605,GO:0007166,GO:0009698,GO:0016051,GO:0036211,GO:0006457,GO:0006996,GO:0055086,GO:0032774,GO:0016192,GO:0009056,GO:0031407,GO:0065009,GO:0071702
1256	GO:1901137,GO:0006508,GO:0009605,GO:0006396,GO:0009124,GO:0044085,GO:0036211,GO:0015074,GO:0006812,GO:0098655,GO:0098662,GO:0009820,GO:0090407,GO:0034220,GO:0071702,GO:0065008,GO:0006950,GO:0090305,GO:0033036
1257	GO:0044262,GO:0090305,GO:0090407,GO:0006950,GO:0006468,GO:0036211,GO:0006996,GO:0055086,GO:0015074,GO:0006790,GO:0009056,GO:0006357,GO:0022900,GO:0065009,GO:0071702,GO:0032259
1258	GO:0006950,GO:0009056,GO:0036211,GO:0034032,GO:0046490,GO:0071897,GO:0034220,GO:0055086,GO:0015074,GO:0044085,GO:0071702,GO:0006508,GO:0006360,GO:0032774
1259	GO:0006950,GO:0006629,GO:0022613,GO:0042254,GO:0044262,GO:0031930,GO:0036211,GO:0071702,GO:0071897,GO:0006508,GO:0009056,GO:0016311,GO:0034220,GO:0006468,GO:0009607,GO:0035556,GO:0006414,GO:0034660,GO:0055086
1260	GO:0006950,GO:0036211,GO:0022900,GO:0006952,GO:0010033,GO:0006396,GO:0070716,GO:0055086
1261	GO:0006950,GO:0036211,GO:0006468,GO:0098542,GO:0006952,GO:0071705,GO:0009607,GO:0009605,GO:0006629,GO:0016053,GO:0048519,GO:0090407,GO:0044085,GO:0006457,GO:0032259,GO:0006396,GO:0043455,GO:0034660,GO:0006812,GO:0009056,GO:0006508
1262	GO:1901137,GO:0090305,GO:0006396,GO:0006950,GO:0044085,GO:0032259,GO:0009615,GO:0036211,GO:0033036,GO:0034220,GO:0042221,GO:0015980,GO:0015074,GO:0008037,GO:0006629,GO:0071310,GO:0006753,GO:0044248,GO:0009056,GO:0022900,GO:0098655,GO:0006508,GO:0018205,GO:0016192,GO:0035556,GO:0006260,GO:0015711,GO:0071897,GO:0055086
1263	GO:0006950
1264	GO:0071702
1276	GO:0071702,GO:0006950,GO:0034660,GO:0006413
1279	GO:0071702,GO:0042221
1280	GO:0044085,GO:0042221
1281	GO:0070647
1282	GO:0090407
1284	GO:0036211,GO:0006950,GO:0006790,GO:0070887,GO:0046322
1285	GO:0042221,GO:0036211,GO:0009056,GO:0090305
1287	GO:0006457
1290	GO:0070647,GO:0090407
1291	GO:0006790,GO:0065009,GO:0006812,GO:0071702,GO:0009056,GO:0045814
1292	GO:0009056,GO:0006357,GO:0009646,GO:0044262,GO:0006508,GO:0071702,GO:0046322
1293	GO:0006413,GO:0033387,GO:0009056,GO:0006396,GO:0033197,GO:0071702,GO:0006468,GO:1901137
1294	GO:0006820,GO:0032774
