Module	Genes	Genes_coding	Genes_protein_and_non_coding	Genes_ncRNA	Genes_lncRNA
6973	79	6	64	6	3
6974	161	0	141	10	10
6975	151	0	141	10	0
6976	47	3	11	14	19
6977	66	11	14	20	21
6978	92	0	77	1	14
6979	91	0	77	0	14
6980	73	0	61	0	12
6981	125	17	87	16	5
6982	69	0	65	2	2
6983	70	4	45	11	10
6984	69	0	54	12	3
6985	40	2	8	6	24
6986	147	11	91	19	26
6987	83	11	62	0	10
6988	56	0	33	0	23
6989	57	0	42	7	8
6990	49	0	40	7	2
6991	130	0	128	2	0
6992	56	0	51	1	4
6993	41	0	40	1	0
6994	42	2	24	0	16
6995	58	0	57	0	1
6996	44	2	37	0	5
6997	24	6	1	14	3
6998	89	20	64	0	5
6999	46	0	39	0	7
7000	66	0	66	0	0
7001	126	0	113	0	13
7002	51	20	24	1	6
7003	39	0	34	3	2
7004	60	0	12	5	43
7005	70	10	54	4	2
7006	21	4	11	4	2
7007	107	0	104	3	0
7008	48	0	46	0	2
7009	39	0	37	0	2
7010	46	2	41	0	3
7011	24	0	21	0	3
7012	20	0	12	8	0
7013	27	0	27	0	0
7014	23	0	14	1	8
7015	13	0	7	1	5
7016	21	0	11	1	9
7017	25	0	14	1	10
7018	50	0	33	0	17
7019	53	2	44	6	1
7023	60	0	47	1	12
7032	228	0	172	2	54
7033	195	0	159	3	33
7034	129	0	90	13	26
7035	81	0	69	5	7
7036	123	0	103	1	19
7037	96	0	68	6	22
7038	89	2	74	0	13
7039	75	2	66	4	3
7040	72	0	66	3	3
7041	65	2	40	18	5
7042	216	9	159	0	48
7043	58	3	37	3	15
7044	77	0	58	0	19
7045	60	4	41	2	13
7046	60	4	41	2	13
7047	65	0	43	13	9
7048	35	0	23	3	9
7049	57	0	52	0	5
7050	47	0	23	12	12
7051	57	0	53	0	4
7052	37	0	11	0	26
7053	30	0	13	17	0
7054	52	0	52	0	0
7055	76	7	68	0	1
7056	72	0	53	0	19
7057	34	0	26	0	8
7058	25	0	23	0	2
7062	92	0	92	0	0
7063	85	2	81	2	0
7066	17	0	15	2	0
7067	41	0	40	0	1
7068	17	0	9	0	8
7070	24	0	9	4	11
7072	23	0	13	2	8
7073	15	0	9	0	6
7074	27	0	23	0	4
7075	40	0	40	0	0
7077	44	0	40	4	0
7088	34	0	28	6	0
7089	27	0	17	9	1
7122	98	0	71	8	19
7124	27	0	23	2	2
7129	1440	355	585	290	210
7130	1595	398	656	305	236
7131	442	36	326	25	55
7132	191	11	108	39	33
7133	154	11	84	33	26
7134	175	28	67	31	49
7135	99	21	32	36	10
7136	227	2	190	11	24
7137	144	0	137	7	0
7138	59	5	22	31	1
7139	70	5	32	31	2
7140	47	24	10	13	0
7141	47	24	10	13	0
7142	41	2	30	7	2
7143	81	22	40	13	6
7144	50	10	22	13	5
7145	77	2	62	8	5
7146	25	0	22	2	1
7147	34	7	19	1	7
7148	47	6	41	0	0
7149	36	13	0	10	13
7150	61	0	61	0	0
7151	47	0	38	0	9
7152	16	0	16	0	0
7154	315	40	224	1	50
7155	277	0	233	4	40
7156	143	7	114	9	13
7157	180	13	150	8	9
7158	178	0	171	0	7
7159	84	2	57	15	10
7160	67	0	47	0	20
7161	54	6	11	21	16
7162	120	0	112	0	8
7163	37	5	31	1	0
7164	39	7	31	1	0
7165	38	0	36	0	2
7166	102	0	98	2	2
7167	17	0	5	11	1
7168	29	0	23	3	3
7170	26	0	26	0	0
7171	20	0	15	0	5
7177	19	0	8	7	4
7191	85	3	57	19	6
7192	90	26	35	21	8
7193	55	0	27	1	27
7194	23	0	21	0	2
7195	1476	289	690	286	211
7196	179	17	91	35	36
7197	60	0	17	18	25
7198	77	26	22	21	8
7199	82	7	38	28	9
7200	80	7	38	28	7
7201	52	3	12	7	30
7202	37	0	16	17	4
7203	56	6	21	19	10
7204	45	3	25	10	7
7205	27	6	14	5	2
7206	42	10	2	15	15
7207	82	31	13	30	8
7208	74	31	13	25	5
7209	26	6	2	14	4
7210	44	2	36	4	2
7211	32	20	0	12	0
7212	33	20	0	13	0
7213	20	0	3	14	3
7214	131	8	116	4	3
7215	78	2	61	9	6
7216	65	0	64	0	1
7217	27	13	10	0	4
7218	25	0	14	0	11
7219	30	0	30	0	0
7220	87	25	45	13	4
7221	68	0	68	0	0
7223	338	83	119	109	27
7224	88	10	43	19	16
7225	100	13	60	22	5
7226	68	11	13	24	20
7227	127	16	56	23	32
7228	70	15	30	21	4
7229	86	28	46	7	5
7230	1327	232	692	212	191
7231	849	178	429	111	131
7232	638	61	357	104	116
7233	357	60	190	60	47
7234	190	50	72	44	24
7235	112	4	50	23	35
7236	81	27	32	16	6
7237	90	15	51	6	18
7238	82	49	19	11	3
7239	70	12	39	9	10
7240	52	9	24	7	12
7241	56	0	42	10	4
7242	36	2	28	0	6
7243	30	3	8	16	3
7244	19	0	15	4	0
7245	11	0	5	5	1
7246	18	0	12	6	0
7250	31	0	26	1	4
7251	9284	5035	2690	883	676
7252	525	103	247	88	87
7253	694	42	483	65	104
7254	604	4	532	22	46
7255	425	136	133	87	69
7256	432	6	292	49	85
7257	514	12	447	21	34
7258	217	43	85	48	41
7259	322	15	223	6	78
7260	399	2	329	20	48
7261	192	21	102	28	41
7262	371	0	288	20	63
7263	139	20	69	31	19
7264	340	2	281	3	54
7265	255	0	206	31	18
7266	271	25	214	1	31
7267	219	2	197	7	13
7268	128	40	33	23	32
7269	193	69	89	14	21
7270	236	6	212	2	16
7271	142	9	114	2	17
7272	272	0	235	17	20
7273	234	5	214	7	8
7274	133	57	45	20	11
7275	207	2	152	32	21
7276	253	0	216	7	30
7277	157	6	122	10	19
7278	161	8	139	3	11
7279	127	0	96	7	24
7280	113	62	30	12	9
7281	131	2	26	54	49
7282	112	17	45	15	35
7283	135	0	122	2	11
7284	108	47	36	14	11
7285	64	4	15	26	19
7286	105	0	74	2	29
7287	124	0	102	2	20
7288	113	24	34	36	19
7289	145	8	83	36	18
7290	104	2	44	46	12
7291	280	30	223	22	5
7292	151	3	139	0	9
7293	170	0	144	2	24
7294	119	5	93	5	16
7295	140	0	113	3	24
7296	159	0	102	0	57
7297	252	0	220	13	19
7298	146	0	127	0	19
7299	135	0	119	7	9
7300	108	2	88	11	7
7301	126	2	112	2	10
7302	109	0	92	1	16
7303	58	15	11	22	10
7304	74	6	49	16	3
7305	98	0	89	4	5
7306	133	21	101	10	1
7307	121	0	102	11	8
7308	200	2	173	7	18
7309	103	0	80	1	22
7310	143	0	100	17	26
7311	74	7	63	2	2
7312	103	0	65	11	27
7313	111	0	91	13	7
7314	103	0	94	6	3
7315	79	2	64	0	13
7316	113	2	93	5	13
7317	123	4	105	5	9
7318	144	0	121	5	18
7319	86	0	78	4	4
7320	92	0	76	11	5
7321	133	25	101	4	3
7322	72	0	65	7	0
7323	172	3	164	2	3
7324	111	2	94	2	13
7325	48	15	22	11	0
7326	133	7	108	0	18
7327	86	0	69	2	15
7328	94	0	84	1	9
7329	104	6	91	7	0
7330	78	2	55	7	14
7331	51	0	40	0	11
7332	50	12	24	8	6
7333	100	2	81	1	16
7334	123	15	87	4	17
7335	84	0	60	0	24
7336	98	2	77	11	8
7337	101	5	81	5	10
7338	56	8	31	6	11
7339	44	13	16	12	3
7340	78	4	62	10	2
7341	79	0	68	9	2
7342	70	0	65	0	5
7343	65	2	57	2	4
7344	46	8	21	12	5
7345	67	14	31	8	14
7346	43	7	9	10	17
7347	64	5	32	5	22
7348	52	0	25	25	2
7349	103	25	75	1	2
7350	64	0	53	1	10
7351	62	0	44	0	18
7352	93	0	60	1	32
7353	79	0	59	3	17
7354	82	0	77	0	5
7355	72	14	48	6	4
7356	66	29	2	19	16
7357	83	0	74	0	9
7358	76	4	69	0	3
7359	74	12	58	3	1
7360	116	0	113	0	3
7361	35	10	9	11	5
7362	49	12	16	6	15
7363	81	25	29	13	14
7364	51	5	33	6	7
7365	40	10	15	4	11
7366	54	2	47	2	3
7367	55	0	48	0	7
7368	69	0	59	0	10
7369	37	0	33	3	1
7370	72	0	70	2	0
7371	130	0	114	1	15
7372	49	0	37	0	12
7373	78	2	67	0	9
7374	49	0	37	8	4
7375	48	5	19	13	11
7376	38	2	36	0	0
7377	107	2	86	1	18
7378	38	2	24	7	5
7379	60	0	51	0	9
7380	41	0	36	0	5
7381	63	6	54	3	0
7382	54	0	45	0	9
7383	60	0	53	4	3
7384	49	16	17	9	7
7385	54	0	41	4	9
7386	34	8	15	11	0
7387	31	3	19	2	7
7388	127	0	115	4	8
7389	51	3	29	1	18
7390	81	29	48	0	4
7391	44	0	38	3	3
7392	29	6	12	0	11
7393	66	0	61	2	3
7394	40	0	39	0	1
7395	61	2	55	1	3
7396	99	0	88	7	4
7397	79	11	58	0	10
7398	134	2	104	1	27
7399	69	37	21	11	0
7400	50	0	49	1	0
7401	34	8	14	9	3
7402	50	0	46	2	2
7403	78	2	70	2	4
7404	44	31	0	12	1
7405	44	7	18	2	17
7406	31	3	9	5	14
7407	29	0	14	5	10
7408	34	7	6	2	19
7409	23	0	14	3	6
7410	38	4	28	4	2
7411	31	0	27	0	4
7412	37	0	33	3	1
7413	54	0	43	0	11
7414	39	0	25	2	12
7415	51	0	41	0	10
7416	77	0	62	2	13
7417	38	4	22	3	9
7418	74	9	56	6	3
7419	75	0	63	0	12
7420	52	0	49	3	0
7421	43	0	31	7	5
7422	43	0	34	3	6
7423	78	0	68	10	0
7424	41	0	40	0	1
7425	41	0	33	0	8
7426	25	2	14	5	4
7427	48	0	37	3	8
7428	42	4	22	11	5
7429	62	2	55	3	2
7430	26	0	16	4	6
7431	71	12	40	16	3
7432	65	0	61	0	4
7433	19	3	8	5	3
7434	22	0	3	16	3
7435	26	5	11	3	7
7436	81	0	72	0	9
7437	102	34	64	4	0
7438	27	3	21	3	0
7439	19	0	13	5	1
7440	25	0	19	1	5
7441	64	0	63	0	1
7442	45	6	37	1	1
7443	43	2	37	0	4
7444	33	2	23	0	8
7445	49	0	45	4	0
7446	108	0	106	2	0
7447	30	0	28	0	2
7448	30	0	26	0	4
7449	48	0	30	0	18
7450	27	4	11	12	0
7451	25	5	9	8	3
7452	25	3	5	8	9
7453	23	4	14	1	4
7454	30	6	19	0	5
7455	38	21	4	8	5
7456	33	6	21	1	5
7457	44	0	38	2	4
7458	35	0	29	6	0
7459	53	6	40	0	7
7460	18	4	13	0	1
7461	50	3	45	2	0
7462	28	0	17	1	10
7463	58	5	49	0	4
7464	59	0	56	3	0
7465	37	0	11	0	26
7466	37	0	31	6	0
7467	34	0	21	10	3
7468	25	3	18	4	0
7469	87	0	76	0	11
7470	34	0	33	0	1
7471	45	0	33	4	8
7472	38	3	20	3	12
7473	39	0	30	2	7
7474	32	2	5	5	20
7475	57	5	49	0	3
7476	32	0	27	2	3
7477	31	0	31	0	0
7478	56	0	51	5	0
7479	21	0	13	8	0
7480	46	22	18	6	0
7481	44	0	29	0	15
7482	24	0	16	7	1
7483	15	0	11	0	4
7484	19	0	7	12	0
7485	31	10	11	10	0
7486	24	6	10	8	0
7487	10	0	2	8	0
7488	43	4	34	0	5
7489	51	0	49	0	2
7490	57	4	39	1	13
7491	42	0	35	0	7
7492	53	0	37	4	12
7493	63	0	60	0	3
7494	20	0	20	0	0
7495	45	0	25	10	10
7496	45	0	45	0	0
7497	30	0	24	0	6
7498	82	0	81	0	1
7499	18	2	10	5	1
7500	27	0	14	0	13
7501	43	0	39	0	4
7502	20	0	9	1	10
7503	15	0	11	1	3
7504	41	0	41	0	0
7505	60	0	50	0	10
7506	9	0	8	0	1
7507	32	0	32	0	0
7508	14	3	8	3	0
7509	29	0	17	1	11
7510	43	0	34	5	4
7511	23	0	22	1	0
7512	24	0	16	0	8
7513	23	0	22	0	1
7514	36	3	28	0	5
7515	77	0	76	0	1
7516	19	7	6	6	0
7517	27	0	25	0	2
7518	36	0	31	3	2
7519	48	0	42	0	6
7520	29	0	22	5	2
7521	18	0	10	0	8
7522	48	0	43	0	5
7523	37	4	33	0	0
7524	25	0	23	0	2
7525	28	0	28	0	0
7526	30	0	28	2	0
7527	12	0	1	11	0
7528	12	0	1	11	0
7529	37	3	34	0	0
7530	19	0	14	1	4
7531	59	0	54	3	2
7532	20	0	4	12	4
7533	26	0	15	9	2
7534	31	6	8	2	15
7535	71	0	71	0	0
7536	71	0	71	0	0
7537	14	3	3	7	1
7538	15	0	7	3	5
7539	27	0	17	9	1
7540	27	7	6	6	8
7541	7	0	0	4	3
7542	16	0	11	5	0
7543	28	0	3	9	16
7544	39	14	22	3	0
7545	21	0	17	2	2
7546	46	2	39	5	0
7547	61	7	39	2	13
7548	59	0	46	0	13
7549	49	0	44	2	3
7550	39	0	28	3	8
7551	165	0	148	0	17
7552	122	0	116	3	3
7553	39	0	27	6	6
7554	49	0	49	0	0
7555	12	0	7	0	5
7556	66	0	63	0	3
7557	54	0	54	0	0
7558	32	0	23	2	7
7559	49	0	45	0	4
7560	51	0	37	0	14
7561	102	0	90	3	9
7562	26	0	16	0	10
7563	18	0	16	0	2
7564	37	0	20	2	15
7565	27	0	10	8	9
7566	33	0	33	0	0
7567	28	0	22	6	0
7568	34	0	6	0	28
7569	53	0	41	12	0
7570	26	0	26	0	0
7571	25	3	20	2	0
7572	25	3	20	0	2
7573	21	0	18	3	0
7574	30	0	28	0	2
7575	19	0	4	5	10
7576	13	3	2	8	0
7577	18	0	14	0	4
7578	62	0	43	0	19
7579	7	0	2	3	2
7580	43	0	37	6	0
7581	28	0	3	4	21
7582	35	0	30	0	5
7583	19	0	12	6	1
7584	34	0	32	0	2
7585	26	0	26	0	0
7586	22	3	17	1	1
7587	29	0	24	0	5
7588	32	0	23	9	0
7589	33	0	30	3	0
7590	12	0	7	0	5
7591	11	0	7	0	4
7592	25	4	13	4	4
7593	25	0	20	5	0
7594	16	0	8	6	2
7595	19	8	11	0	0
7596	44	0	39	2	3
7597	8	2	2	1	3
7598	15	0	9	0	6
7599	11	5	3	3	0
7600	55	5	47	0	3
7601	30	0	27	1	2
7602	39	0	31	0	8
7603	19	13	0	3	3
7604	33	0	7	6	20
7605	29	0	29	0	0
7606	20	0	15	0	5
7607	36	0	36	0	0
7608	53	26	2	16	9
7609	15	3	1	11	0
7610	20	2	11	0	7
7611	53	0	43	0	10
7612	25	0	17	8	0
7613	20	0	15	5	0
7614	37	0	33	0	4
7615	17	0	0	13	4
7616	25	4	18	0	3
7617	17	0	11	0	6
7618	22	5	9	6	2
7619	25	0	18	6	1
7620	11	0	5	6	0
7621	20	7	5	0	8
7622	13	0	4	6	3
7623	10	2	4	3	1
7624	19	0	17	0	2
7625	40	0	28	10	2
7628	40	0	33	5	2
7629	35	0	22	2	11
7631	38	0	17	21	0
7632	23	2	13	0	8
7633	14	0	13	0	1
7638	36	0	32	4	0
7640	49	0	39	0	10
7642	27	0	27	0	0
7645	27	0	12	15	0
7648	89	0	74	11	4
7649	23	0	23	0	0
7653	29	0	14	5	10
7654	14	0	9	3	2
7656	24	0	22	0	2
7657	61	3	57	1	0
7665	36	4	28	4	0
7666	44	0	40	4	0
7676	27	0	26	1	0
7683	33	0	33	0	0
7684	25	0	23	2	0
7691	12	6	2	0	4
7693	18	0	11	2	5
7695	47	0	30	0	17
7697	51	0	47	4	0
7699	16	2	0	13	1
7700	32	0	30	2	0
7703	32	0	28	4	0
7704	26	2	24	0	0
7705	28	4	14	0	10
7708	22	0	14	0	8
7712	8	0	7	0	1
7713	44	8	36	0	0
7715	12	0	5	0	7
7718	27	2	25	0	0
7727	15	2	4	7	2
7729	14	0	9	3	2
7732	10	0	3	4	3
7735	45	0	40	2	3
7736	21	0	15	6	0
7740	13	2	9	0	2
7741	34	0	34	0	0
7745	19	2	14	0	3
7750	8	0	3	4	1
7756	27	0	18	6	3
7761	42	7	35	0	0
7770	56	14	42	0	0
7773	61	0	60	0	1
7831	54	7	46	0	1
7841	24	0	15	0	9
7861	11	6	3	2	0
7871	63	0	46	7	10
7874	142	0	138	2	2
7878	19	0	19	0	0
7909	30	3	27	0	0
7911	18	0	6	12	0
7942	12	2	2	5	3
7977	10	3	3	4	0
8028	25	0	10	8	7
8121	40	0	31	0	9
9745	59	0	28	7	24
9746	52	26	7	6	13
9747	26	0	16	7	3
9769	59	4	16	23	16
9770	81	16	36	13	16
9771	53	3	30	10	10
9772	24	4	18	0	2
9785	646	99	268	100	179
9786	145	24	73	23	25
9787	97	21	46	22	8
9788	84	2	57	15	10
9789	61	18	21	18	4
9790	59	0	57	0	2
9791	19	0	12	5	2
9802	803	151	358	137	157
9803	155	42	62	33	18
9804	143	33	61	28	21
9805	307	97	147	22	41
9806	122	2	59	37	24
9807	137	23	48	37	29
9808	80	8	25	39	8
9809	40	2	17	14	7
9810	15	0	11	3	1
9811	44	7	22	4	11
9812	32	8	22	1	1
9813	22	6	7	9	0
9814	18	0	8	5	5
9815	16	12	0	3	1
9816	134	12	84	18	20
9819	284	0	252	3	29
9820	62	4	20	0	38
9821	26	0	17	4	5
9822	39	0	36	3	0
9823	19	0	6	7	6
9824	22	2	4	3	13
9825	23	5	0	5	13
9826	22	0	21	0	1
9858	38	0	33	0	5
9866	15	2	10	3	0
9874	107	2	53	14	38
9875	69	0	67	1	1
9877	48	0	46	0	2
9878	17	0	13	1	3
9879	15	0	11	0	4
9886	23	2	13	6	2
9892	45	0	36	9	0
9901	47	0	44	2	1
9903	62	0	50	3	9
9908	52	0	15	12	25
9909	18	0	11	7	0
9911	47	0	40	3	4
9912	52	0	15	12	25
9914	43	0	42	1	0
9918	21	0	10	0	11
9921	43	0	41	0	2
9926	64	0	59	0	5
9929	57	0	43	0	14
9930	59	4	36	16	3
9931	55	0	52	1	2
9934	22	2	13	2	5
9940	39	14	14	8	3
9941	34	14	11	7	2
9942	34	16	11	7	0
9943	29	12	8	7	2
9947	27	5	12	10	0
9952	57	0	50	3	4
9953	40	4	22	0	14
9954	111	7	62	17	25
9955	41	4	32	0	5
9956	51	0	51	0	0
9957	48	0	45	2	1
9959	42	0	42	0	0
9963	67	0	61	0	6
9966	29	8	4	13	4
9967	65	0	48	5	12
9968	24	0	20	4	0
9969	15	0	11	4	0
9973	11	0	9	0	2
9981	65	0	59	6	0
9988	46	0	39	3	4
9999	23	0	18	0	5
10000	74	0	72	2	0
10001	78	0	69	9	0
10003	306	61	113	59	73
10005	20	0	16	1	3
10011	24	0	18	0	6
10018	120	32	22	33	33
10021	27	0	27	0	0
10026	25	0	25	0	0
10027	44	0	43	1	0
10030	45	0	33	0	12
10031	68	0	65	0	3
10034	125	20	56	28	21
10040	50	4	27	1	18
10043	77	0	76	0	1
10049	42	0	40	1	1
10050	27	16	10	1	0
10062	31	0	28	0	3
10065	40	0	34	0	6
10069	26	0	25	0	1
10070	24	5	2	17	0
10074	22	2	20	0	0
10075	35	6	27	2	0
10078	162	5	120	22	15
10082	38	0	38	0	0
10083	17	0	13	0	4
10084	57	0	45	4	8
10085	168	0	125	16	27
10088	11	0	2	7	2
10092	17	4	12	0	1
10093	48	3	40	2	3
10095	16	2	8	5	1
10103	44	0	33	1	10
10104	29	0	29	0	0
10105	288	4	254	13	17
10106	240	4	211	12	13
10110	47	0	40	0	7
10115	68	0	62	6	0
10116	32	2	28	0	2
10117	67	0	60	4	3
10118	44	0	40	0	4
10120	13	0	11	0	2
10124	48	2	39	7	0
10133	15	0	7	3	5
10142	81	0	80	0	1
10143	37	0	35	1	1
10146	32	4	22	6	0
10148	54	0	44	5	5
10149	26	0	21	3	2
10152	112	17	31	29	35
10157	58	0	55	0	3
10164	32	9	23	0	0
10165	20	10	6	0	4
10172	40	2	34	3	1
10174	97	14	31	26	26
10176	46	0	44	0	2
10178	161	2	133	10	16
10182	46	0	43	0	3
10186	170	0	165	3	2
10191	51	0	31	0	20
10194	87	13	58	9	7
10201	11	0	2	6	3
10209	31	0	21	0	10
10210	23	2	9	5	7
10211	31	0	16	10	5
10213	32	2	20	0	10
10214	190	4	167	6	13
10229	30	8	2	16	4
10230	38	0	25	13	0
10231	77	0	76	1	0
10238	34	0	21	2	11
10243	9	0	0	4	5
10251	53	11	18	9	15
10253	41	39	1	1	0
10257	109	31	68	10	0
10263	19	4	6	6	3
10284	14	0	9	0	5
10293	30	0	26	0	4
10302	9	0	3	5	1
10306	21	0	19	0	2
10308	17	4	2	4	7
10309	17	8	3	5	1
10310	20	10	6	0	4
10316	28	0	21	0	7
10317	33	0	27	0	6
10318	32	0	26	0	6
10331	368	0	330	9	29
10337	62	6	54	0	2
10338	50	2	20	11	17
10339	48	0	31	0	17
10346	55	0	27	14	14
10351	64	0	49	0	15
10352	25	0	19	0	6
10362	45	32	0	9	4
10369	32	7	10	14	1
10374	51	26	19	4	2
10375	37	14	17	4	2
10378	21	7	9	5	0
10395	104	0	96	0	8
10396	383	40	167	73	103
10400	33	0	33	0	0
10402	103	0	77	22	4
10405	137	0	110	8	19
10417	47	7	22	15	3
10431	36	0	30	0	6
10440	40	0	39	1	0
10450	17	2	11	0	4
10454	29	0	22	6	1
10457	31	2	20	0	9
10468	106	0	99	7	0
10479	31	0	28	3	0
10480	127	10	69	32	16
10485	80	0	73	7	0
10492	48	2	46	0	0
10495	14	0	11	2	1
10507	47	0	18	2	27
10515	43	0	38	0	5
10519	16	0	10	0	6
10520	16	0	9	3	4
10521	224	3	185	16	20
10522	68	25	27	11	5
10534	24	10	6	0	8
10536	126	2	109	4	11
10537	77	0	71	0	6
10544	65	0	45	11	9
10549	17	0	5	11	1
10552	136	32	51	19	34
10555	19	5	9	3	2
10557	77	0	53	0	24
10561	18	4	0	12	2
10563	88	6	82	0	0
10565	85	0	74	8	3
10567	26	18	4	4	0
10569	148	44	42	47	15
10570	84	5	61	4	14
10571	90	5	61	1	23
10580	45	6	16	18	5
10582	140	27	56	23	34
10595	55	0	41	1	13
10598	248	40	167	0	41
10602	27	4	14	3	6
10609	34	6	28	0	0
10614	128	8	107	3	10
10615	152	8	120	17	7
10620	24	5	17	2	0
10628	410	22	368	3	17
10632	23	3	15	0	5
10633	22	0	6	13	3
10634	11	5	2	1	3
10644	15	7	7	1	0
10660	24	17	4	3	0
10661	184	34	95	26	29
10666	22	0	22	0	0
10669	140	21	78	28	13
10673	23	2	10	3	8
10678	54	48	2	4	0
10680	247	6	182	4	55
10684	42	0	12	24	6
10689	357	30	264	25	38
10696	27	7	9	6	5
10699	7	0	5	0	2
10700	42	8	29	5	0
10703	28	0	11	0	17
10710	46	14	21	5	6
10716	196	31	52	59	54
10718	10	2	0	0	8
10719	62	0	53	2	7
10720	165	9	91	30	35
10721	13	0	6	0	7
10729	21	0	21	0	0
10740	18	0	14	0	4
10748	174	25	90	36	23
10749	38	0	32	1	5
10753	7	0	3	1	3
10755	20	4	8	5	3
10764	52	0	37	15	0
10766	10	0	9	0	1
10769	82	16	54	12	0
10771	20	2	13	5	0
10772	25	10	5	3	7
10774	15	0	13	0	2
10781	26	3	19	4	0
10789	40	0	23	16	1
10797	76	45	20	7	4
10803	325	117	143	41	24
10807	31	13	14	0	4
10817	298	52	173	52	21
10820	85	5	49	8	23
10822	66	10	38	12	6
10826	49	9	21	19	0
10827	28	10	0	13	5
10832	43	0	34	2	7
10835	15	12	0	3	0
10842	22	0	16	0	6
10846	143	13	75	45	10
10847	118	11	66	31	10
10854	466	79	195	115	77
10860	24	0	11	3	10
10861	34	10	21	0	3
10865	30	7	9	6	8
10875	8	3	5	0	0
10877	94	0	68	0	26
10878	65	0	48	0	17
10880	29	0	8	0	21
10887	27	9	11	2	5
10893	46	0	37	0	9
10897	46	0	20	25	1
10902	372	80	184	58	50
10913	35	10	1	11	13
10914	69	0	69	0	0
10922	15	4	9	1	1
10925	10	0	2	6	2
10926	561	55	256	143	107
10933	30	0	21	0	9
10935	42	0	42	0	0
10936	842	288	324	131	99
10941	43	3	36	0	4
10951	9	0	4	5	0
10952	9	0	4	5	0
10955	28	0	14	6	8
10958	27	3	13	1	10
10960	24	4	16	1	3
10963	106	0	88	10	8
10981	19	5	10	0	4
10982	100	11	88	0	1
10989	129	0	121	0	8
10991	130	17	111	0	2
10992	39	0	34	0	5
10993	21	3	15	1	2
10997	73	35	13	10	15
11000	87	0	87	0	0
11001	50	6	44	0	0
11008	33	0	14	19	0
11020	31	0	31	0	0
11021	22	11	9	0	2
11027	103	14	46	16	27
11028	48	9	35	1	3
11029	34	0	27	0	7
11031	45	2	30	10	3
11033	38	20	9	3	6
11040	59	0	51	8	0
11041	58	0	58	0	0
11042	61	0	52	9	0
11043	48	10	31	7	0
11044	49	16	25	3	5
11045	13	0	11	0	2
11048	41	5	23	13	0
11056	16	0	15	0	1
11060	55	0	39	0	16
11061	19	13	3	2	1
11062	32	14	11	4	3
11063	74	3	52	1	18
11066	53	0	17	20	16
11070	58	0	40	6	12
11074	31	0	25	6	0
11075	24	2	6	11	5
11079	149	0	133	4	12
11081	38	10	4	14	10
11083	53	4	23	4	22
11085	25	2	6	16	1
11096	34	0	34	0	0
11097	27	0	27	0	0
11101	81	16	36	13	16
11103	50	14	11	8	17
11106	41	0	14	18	9
11107	43	2	7	27	7
11116	67	10	38	12	7
11117	71	6	37	16	12
11120	12	0	9	0	3
11122	30	0	18	7	5
11124	125	8	110	4	3
11125	96	8	81	4	3
11129	50	0	41	0	9
11135	68	2	37	12	17
11136	57	0	38	2	17
11141	68	0	60	1	7
11143	39	0	36	0	3
11144	23	0	20	0	3
11145	23	0	15	8	0
11147	66	18	23	18	7
11157	82	15	43	0	24
11160	44	5	11	5	23
11161	66	0	65	1	0
11162	64	0	63	1	0
11165	38	2	31	2	3
11166	33	0	24	1	8
11168	77	24	33	12	8
11169	25	0	22	0	3
11170	102	0	83	0	19
11174	70	9	38	18	5
11184	52	3	13	26	10
11188	138	117	17	0	4
11191	114	10	41	29	34
11194	41	0	37	0	4
11200	22	4	2	10	6
11201	145	29	50	25	41
11208	48	0	48	0	0
11212	139	0	107	11	21
11216	159	7	70	48	34
11220	29	0	25	0	4
11224	29	0	26	0	3
11225	86	0	80	0	6
11227	11	0	7	0	4
11229	56	11	26	15	4
11233	28	0	8	11	9
11234	38	0	37	1	0
11241	128	0	124	0	4
11242	38	0	36	0	2
11243	31	3	5	15	8
11245	17	0	8	9	0
11246	70	30	20	17	3
11247	28	3	7	5	13
11250	36	0	19	0	17
11251	68	0	59	3	6
11257	204	6	142	4	52
11258	186	6	136	3	41
11261	58	3	53	0	2
11263	251	54	142	17	38
11264	20	0	16	0	4
11269	271	39	138	33	61
11270	235	24	121	49	41
11271	73	0	64	1	8
11273	21	0	17	0	4
11278	52	0	39	8	5
11279	38	4	33	0	1
11282	46	0	45	0	1
11285	28	0	21	1	6
11287	454	66	208	86	94
11290	107	0	106	0	1
11292	36	0	28	4	4
11301	502	49	266	99	88
11302	16	10	5	1	0
11312	88	4	66	0	18
11313	59	0	28	7	24
11314	24	13	1	4	6
11319	260728	6306	219676	10498	24248
11322	131	0	126	0	5
11323	76	0	75	0	1
11326	54	0	50	0	4
11328	42	0	36	0	6
11334	16	10	1	1	4
11335	121	2	99	11	9
11336	72	0	70	0	2
11337	32	0	23	3	6
11339	33	0	28	5	0
11342	12	6	0	2	4
11347	38	7	12	13	6
11349	11	7	3	0	1
11354	13	0	8	5	0
11362	25	9	12	3	1
11363	192	0	170	2	20
11370	32	0	31	1	0
11371	82	6	59	0	17
11373	49	0	43	3	3
11374	52	10	36	3	3
11376	25	0	23	0	2
11379	37	0	13	7	17
11381	52	0	43	4	5
11382	43	0	43	0	0
11390	51	2	40	0	9
11391	62	0	55	5	2
11392	45	4	30	9	2
11396	53	0	43	6	4
11397	15	2	9	4	0
11404	55	10	14	9	22
11411	16	0	9	2	5
11413	14	4	0	7	3
11415	73	0	70	0	3
11418	24	2	14	5	3
11420	25	2	17	3	3
