Gene	Gene Category
OG0014115	protein-coding
OG0014115	protein-coding
OG0014115	protein-coding
OG0014115	protein-coding
OG0014115	protein-coding
OG0014115	protein-coding
OG0014115	protein-coding
OG0014115	protein-coding
OG0014115	protein-coding
OG0014115	protein-coding
OG0014115	protein-coding
OG0014115	protein-coding
OG0014115	protein-coding
OG0014115	protein-coding
OG0014115	protein-coding
OG0014115	protein-coding
OG0014115	protein-coding
OG0014115	protein-coding
OG0014115	protein-coding
OG0014115	protein-coding
OG0014115	protein-coding
OG0014115	protein-coding
OG0014115	protein-coding
OG0014115	protein-coding
OG0014115	protein-coding
OG0014115	protein-coding
OG0014115	protein-coding
OG0014115	protein-coding
OG0014115	protein-coding
OG0014115	protein-coding
OG0014115	protein-coding
OG0014115	protein-coding
OG0014115	protein-coding
OG0014115	protein-coding
OG0014115	protein-coding
OG0014115	protein-coding
OG0014115	protein-coding
OG0014115	protein-coding
OG0014115	protein-coding
OG0014115	protein-coding
OG0014115	protein-coding
OG0014115	protein-coding
OG0014115	protein-coding
OG0014115	protein-coding
OG0014115	protein-coding
OG0014115	protein-coding
OG0014115	protein-coding
OG0014115	protein-coding
OG0014115	protein-coding
OG0014115	protein-coding
OG0014115	protein-coding
OG0014115	protein-coding
OG0014115	protein-coding
OG0014115	protein-coding
OG0014115	protein-coding
OG0014115	protein-coding
OG0014983	protein and non-coding
OG0014983	protein and non-coding
OG0014983	protein and non-coding
OG0014983	protein and non-coding
OG0014983	protein and non-coding
OG0014983	protein and non-coding
OG0014983	protein and non-coding
OG0014983	protein and non-coding
OG0014983	protein and non-coding
OG0014983	protein and non-coding
OG0014983	protein and non-coding
OG0014983	protein and non-coding
OG0014983	protein and non-coding
OG0014983	protein and non-coding
OG0014983	protein and non-coding
OG0014983	protein and non-coding
OG0014983	protein and non-coding
OG0014983	protein and non-coding
OG0014983	protein and non-coding
OG0014983	protein and non-coding
OG0014983	protein and non-coding
OG0014983	protein and non-coding
OG0014983	protein and non-coding
OG0014983	protein and non-coding
OG0014983	protein and non-coding
OG0014983	protein and non-coding
OG0014983	protein and non-coding
OG0014983	protein and non-coding
OG0014983	protein and non-coding
OG0014983	protein and non-coding
OG0014983	protein and non-coding
OG0014983	protein and non-coding
OG0014983	protein and non-coding
OG0014983	protein and non-coding
OG0014983	protein and non-coding
OG0014983	protein and non-coding
OG0014983	protein and non-coding
OG0014983	protein and non-coding
OG0014983	protein and non-coding
OG0014983	protein and non-coding
OG0014983	protein and non-coding
OG0014983	protein and non-coding
OG0014983	protein and non-coding
OG0014983	protein and non-coding
OG0014983	protein and non-coding
OG0014983	protein and non-coding
OG0014983	protein and non-coding
OG0014983	protein and non-coding
OG0014983	protein and non-coding
OG0014983	protein and non-coding
OG0014983	protein and non-coding
OG0014983	protein and non-coding
OG0014983	protein and non-coding
OG0014983	protein and non-coding
OG0015111	protein and non-coding
OG0015111	protein and non-coding
OG0015111	protein and non-coding
