Genotipos	Grupos	Classe	Transcritos
20	3550111	pan_transcriptome	7343209
20	3824128	pan_transcriptome	8042061
21	3222884	pan_transcriptome	6459214
21	3493136	pan_transcriptome	7224721
21	2917350	pan_transcriptome	5862647
21	3251862	pan_transcriptome	6501439
21	4179960	pan_transcriptome	9301698
21	3637350	pan_transcriptome	7845713
21	3209036	pan_transcriptome	6586749
21	3556878	pan_transcriptome	7493703
21	3407796	pan_transcriptome	7004936
21	3126345	pan_transcriptome	6192468
21	3154437	pan_transcriptome	6548711
21	3223332	pan_transcriptome	6627066
21	3672787	pan_transcriptome	7821276
21	3665711	pan_transcriptome	7534809
21	3399215	pan_transcriptome	6940296
21	3754927	pan_transcriptome	8164811
21	3245535	pan_transcriptome	6824328
21	3717020	pan_transcriptome	8045207
21	3111087	pan_transcriptome	6386980
21	3792421	pan_transcriptome	8301787
22	3775903	pan_transcriptome	8231198
22	3325942	pan_transcriptome	6958116
22	3594782	pan_transcriptome	7523323
22	3208071	pan_transcriptome	6594267
22	3772624	pan_transcriptome	7983755
22	3525775	pan_transcriptome	7331426
22	3353137	pan_transcriptome	6796256
22	3911508	pan_transcriptome	8609359
22	2944449	pan_transcriptome	6119795
22	3197030	pan_transcriptome	6499714
22	3325031	pan_transcriptome	6873467
22	3184228	pan_transcriptome	6484716
22	3171583	pan_transcriptome	6365844
22	3506592	pan_transcriptome	7234890
22	2951140	pan_transcriptome	5958276
22	3566385	pan_transcriptome	7433660
22	3995211	pan_transcriptome	8740006
22	3298661	pan_transcriptome	6680264
22	3685273	pan_transcriptome	7909450
22	3568913	pan_transcriptome	7560667
23	3375487	pan_transcriptome	6998799
23	4106703	pan_transcriptome	9193435
23	3499915	pan_transcriptome	7421816
23	3233304	pan_transcriptome	6468174
23	3724603	pan_transcriptome	7797039
23	3635662	pan_transcriptome	7721014
23	3542869	pan_transcriptome	7579999
23	3768817	pan_transcriptome	8072028
23	4094834	pan_transcriptome	9315338
23	3578083	pan_transcriptome	7519807
23	3053486	pan_transcriptome	6160143
23	3900087	pan_transcriptome	8393655
23	3677130	pan_transcriptome	8051383
23	3962653	pan_transcriptome	8729296
23	3514205	pan_transcriptome	7282005
23	3472031	pan_transcriptome	7461573
23	3411178	pan_transcriptome	7032110
23	3823246	pan_transcriptome	8185854
23	3935689	pan_transcriptome	8730570
23	3908576	pan_transcriptome	8400965
24	3898033	pan_transcriptome	8403671
24	4139730	pan_transcriptome	9502368
24	4068795	pan_transcriptome	8828355
24	4044578	pan_transcriptome	9031319
24	4235066	pan_transcriptome	9458560
24	3743102	pan_transcriptome	8221618
24	3437019	pan_transcriptome	7139320
24	3801165	pan_transcriptome	8092188
24	3583895	pan_transcriptome	7387077
24	3549259	pan_transcriptome	7368362
24	3537472	pan_transcriptome	7444705
24	3813407	pan_transcriptome	8179884
24	4078345	pan_transcriptome	9025498
24	4118959	pan_transcriptome	9257712
24	4350055	pan_transcriptome	9985144
24	3911092	pan_transcriptome	8703979
24	3929476	pan_transcriptome	8628252
24	3529118	pan_transcriptome	7433616
24	3782401	pan_transcriptome	8161644
24	4020245	pan_transcriptome	8804544
25	3882395	pan_transcriptome	8187472
25	3543866	pan_transcriptome	7446189
25	3735935	pan_transcriptome	8045920
