Genotypes	Groups	Class	Sequences
9	0	soft-core	0
9	7	hard-core	153
9	2115042	exclusive	0
9	733309	pan	1065313
9	733309	accessory	1065313
9	0	soft-core	0
9	0	hard-core	0
9	2673879	exclusive	0
9	766802	pan	1147591
9	766787	accessory	1147216
9	0	soft-core	0
9	15	hard-core	375
9	2640386	exclusive	0
9	1028331	pan	1643668
9	1028327	accessory	1643554
9	0	soft-core	0
9	4	hard-core	114
9	2378857	exclusive	0
9	982885	pan	1513201
9	982882	accessory	1513125
9	0	soft-core	0
9	3	hard-core	76
9	2424303	exclusive	0
9	1136289	pan	1869237
9	1136280	accessory	1869029
9	0	soft-core	0
9	9	hard-core	208
9	2270899	exclusive	0
9	1492274	pan	2547676
9	1492262	accessory	2547366
9	0	soft-core	0
9	12	hard-core	310
9	1914914	exclusive	0
9	1334607	pan	2215643
9	1334597	accessory	2215351
9	0	soft-core	0
9	10	hard-core	292
9	2072581	exclusive	0
9	1394549	pan	2449540
9	1394543	accessory	2449339
9	0	soft-core	0
9	6	hard-core	201
9	2012639	exclusive	0
9	756457	pan	1096214
9	756456	accessory	1096187
9	0	soft-core	0
9	1	hard-core	27
9	2650731	exclusive	0
9	767735	pan	1129463
9	767734	accessory	1129450
9	0	soft-core	0
9	1	hard-core	13
9	2639453	exclusive	0
9	710342	pan	1059735
9	710336	accessory	1059592
9	0	soft-core	0
9	6	hard-core	143
9	2696846	exclusive	0
9	1005318	pan	1553393
9	1005314	accessory	1553277
9	0	soft-core	0
9	4	hard-core	116
9	2401870	exclusive	0
9	717659	pan	1068570
9	717657	accessory	1068508
9	0	soft-core	0
9	2	hard-core	62
9	2689529	exclusive	0
9	938137	pan	1445528
9	938129	accessory	1445304
9	0	soft-core	0
9	8	hard-core	224
9	2469051	exclusive	0
9	1115317	pan	1698035
9	1115316	accessory	1698009
9	0	soft-core	0
9	1	hard-core	26
9	2291871	exclusive	0
10	1221556	pan	1918182
10	1221538	accessory	1917758
10	0	soft-core	0
10	5	hard-core	110
10	2185632	exclusive	0
10	896672	pan	1378521
10	896653	accessory	1378050
10	0	soft-core	0
10	1	hard-core	22
10	2510516	exclusive	0
10	1636356	pan	2949841
10	1636308	accessory	2948484
10	0	soft-core	0
10	11	hard-core	354
10	1770832	exclusive	0
10	1018697	pan	1566854
10	1018685	accessory	1566578
10	0	soft-core	0
10	1	hard-core	31
10	2388491	exclusive	0
10	1085250	pan	1749565
10	1085228	accessory	1749051
10	0	soft-core	0
10	3	hard-core	112
10	2321938	exclusive	0
10	941977	pan	1458038
10	941951	accessory	1457415
10	0	soft-core	0
10	4	hard-core	160
10	2465211	exclusive	0
10	828024	pan	1222873
10	828012	accessory	1222605
10	0	soft-core	0
10	3	hard-core	79
10	2579164	exclusive	0
10	995153	pan	1567901
10	995131	accessory	1567373
10	0	soft-core	0
10	3	hard-core	116
10	2412035	exclusive	0
10	1192466	pan	1926675
10	1192449	accessory	1926276
10	0	soft-core	0
10	2	hard-core	50
10	2214722	exclusive	0
10	917357	pan	1430449
10	917348	accessory	1430184
10	0	soft-core	0
