NumberGroups	NumberGenes	Classification	NumberGenotypes	Sample
36	273	soft-core	4	15
16177	48214	accessory	4	15
333811	416167	exclusive	4	15
590247	852038	pan	4	16
189	1553	hard-core	4	16
189	1553	soft-core	4	16
29454	90049	accessory	4	16
560604	760436	exclusive	4	16
313480	418573	pan	4	17
49	376	hard-core	4	17
49	376	soft-core	4	17
18167	54640	accessory	4	17
295264	363557	exclusive	4	17
410824	553791	pan	4	18
63	484	hard-core	4	18
63	484	soft-core	4	18
21800	65518	accessory	4	18
388961	487789	exclusive	4	18
340292	463021	pan	4	19
44	316	hard-core	4	19
44	316	soft-core	4	19
18821	55944	accessory	4	19
321427	406761	exclusive	4	19
307597	414944	pan	5	0
13	138	hard-core	5	0
123	885	soft-core	5	0
17417	49709	accessory	5	0
290057	364350	exclusive	5	0
460925	608214	pan	5	1
23	221	hard-core	5	1
297	2060	soft-core	5	1
29945	82416	accessory	5	1
430683	523738	exclusive	5	1
432690	600742	pan	5	2
83	924	hard-core	5	2
761	5987	soft-core	5	2
36336	106664	accessory	5	2
395593	488091	exclusive	5	2
573954	805800	pan	5	3
46	453	hard-core	5	3
521	3852	soft-core	5	3
48972	151242	accessory	5	3
524461	650706	exclusive	5	3
1021096	1679737	pan	5	4
145	1803	hard-core	5	4
1713	15500	soft-core	5	4
143880	518149	accessory	5	4
875503	1146088	exclusive	5	4
789220	1172090	pan	5	5
32	326	hard-core	5	5
366	2964	soft-core	5	5
53048	170443	accessory	5	5
735806	998683	exclusive	5	5
388440	522480	pan	5	6
23	265	hard-core	5	6
194	1469	soft-core	5	6
22928	63903	accessory	5	6
365318	457108	exclusive	5	6
327759	433852	pan	5	7
5	59	hard-core	5	7
119	917	soft-core	5	7
18870	54894	accessory	5	7
308770	378041	exclusive	5	7
741420	1097486	pan	5	8
50	569	hard-core	5	8
517	4169	soft-core	5	8
48008	151533	accessory	5	8
692895	941784	exclusive	5	8
789472	1160983	pan	5	9
86	976	hard-core	5	9
853	6476	soft-core	5	9
57171	179365	accessory	5	9
731448	975142	exclusive	5	9
850024	1331373	pan	5	10
42	515	hard-core	5	10
2361	22733	soft-core	5	10
90454	307139	accessory	5	10
757209	1001501	exclusive	5	10
652756	963761	pan	5	11
15	158	hard-core	5	11
268	2140	soft-core	5	11
32331	102862	accessory	5	11
620157	858759	exclusive	5	11
504990	707691	pan	5	12
35	389	hard-core	5	12
291	2205	soft-core	5	12
40412	125926	accessory	5	12
464287	579560	exclusive	5	12
581235	815696	pan	5	13
54	625	hard-core	5	13
424	3323	soft-core	5	13
44291	133574	accessory	5	13
536520	678799	exclusive	5	13
752401	1124473	pan	5	14
44	559	hard-core	5	14
499	4125	soft-core	5	14
49522	159002	accessory	5	14
702380	961346	exclusive	5	14
778934	1188708	pan	5	15
43	528	hard-core	5	15
425	3737	soft-core	5	15
59641	203618	accessory	5	15
718868	981353	exclusive	5	15
647895	951136	pan	5	16
13	128	hard-core	5	16
162	1254	soft-core	5	16
36115	118388	accessory	5	16
611618	831494	exclusive	5	16
592123	861667	pan	5	17
38	428	hard-core	5	17
388	2995	soft-core	5	17
52555	167625	accessory	5	17
539180	691047	exclusive	5	17
945260	1530874	pan	5	18
142	1687	hard-core	5	18
1622	14090	soft-core	5	18
126241	449090	accessory	5	18
817397	1067694	exclusive	5	18
763443	1151139	pan	5	19
216	2416	hard-core	5	19
1285	10841	soft-core	5	19
70031	228019	accessory	5	19
692127	912279	exclusive	5	19
602931	879072	pan	6	0
27	390	hard-core	6	0
173	1811	soft-core	6	0
66196	215177	accessory	6	0
536562	662084	exclusive	6	0
1056785	1709669	pan	6	1
33	577	hard-core	6	1
227	2857	soft-core	6	1
132893	485404	accessory	6	1
923665	1221408	exclusive	6	1
563159	786244	pan	6	2
10	124	hard-core	6	2
61	706	soft-core	6	2
47558	146160	accessory	6	2
515540	639378	exclusive	6	2
995742	1607492	pan	6	3
15	261	hard-core	6	3
199	2429	soft-core	6	3
132952	477021	accessory	6	3
862591	1128042	exclusive	6	3
553197	788083	pan	6	4
12	140	hard-core	6	4
96	1043	soft-core	6	4
51756	162102	accessory	6	4
501345	624938	exclusive	6	4
499650	680182	pan	6	5
19	268	hard-core	6	5
110	1171	soft-core	6	5
43324	125185	accessory	6	5
456216	553826	exclusive	6	5
715711	1045602	pan	6	6
7	87	hard-core	6	6
47	505	soft-core	6	6
50664	160445	accessory	6	6
665000	884652	exclusive	6	6
617457	885149	pan	6	7
14	188	hard-core	6	7
127	1356	soft-core	6	7
59691	186548	accessory	6	7
557639	697245	exclusive	6	7
1063531	1727728	pan	6	8
59	940	hard-core	6	8
348	4442	soft-core	6	8
131000	477645	accessory	6	8
932183	1245641	exclusive	6	8
846903	1286914	pan	6	9
27	443	hard-core	6	9
217	2471	soft-core	6	9
82606	274463	accessory	6	9
764080	1009980	exclusive	6	9
564873	778477	pan	6	10
17	186	hard-core	6	10
252	2469	soft-core	6	10
52054	151919	accessory	6	10
512567	624089	exclusive	6	10
587490	840381	pan	6	11
5	49	hard-core	6	11
57	537	soft-core	6	11
42189	133449	accessory	6	11
545244	706395	exclusive	6	11
785470	1168591	pan	6	12
11	120	hard-core	6	12
65	676	soft-core	6	12
59003	189965	accessory	6	12
726402	977950	exclusive	6	12
575836	819018	pan	6	13
7	71	hard-core	6	13
73	769	soft-core	6	13
51121	163839	accessory	6	13
524642	654410	exclusive	6	13
501941	702727	pan	6	14
9	146	hard-core	6	14
91	997	soft-core	6	14
42089	127028	accessory	6	14
459761	574702	exclusive	6	14
945895	1469060	pan	6	15
27	407	hard-core	6	15
188	2224	soft-core	6	15
94340	323767	accessory	6	15
851367	1143069	exclusive	6	15
1027975	1658098	pan	6	16
44	665	hard-core	6	16
293	3617	soft-core	6	16
141202	499619	accessory	6	16
886480	1154862	exclusive	6	16
843167	1263816	pan	6	17
13	187	hard-core	6	17
128	1364	soft-core	6	17
73502	238878	accessory	6	17
769537	1023574	exclusive	6	17
1022873	1642135	pan	6	18
43	672	hard-core	6	18
297	3647	soft-core	6	18
136862	483254	accessory	6	18
885714	1155234	exclusive	6	18
831018	1248939	pan	6	19
16	229	hard-core	6	19
121	1304	soft-core	6	19
66469	218818	accessory	6	19
764428	1028817	exclusive	6	19
887118	1353766	pan	7	0
13	269	hard-core	7	0
101	1446	soft-core	7	0
89785	293900	accessory	7	0
797232	1058420	exclusive	7	0
1035004	1669080	pan	7	1
7	117	hard-core	7	1
51	787	soft-core	7	1
141441	500839	accessory	7	1
893512	1167454	exclusive	7	1
931282	1428989	pan	7	2
15	312	hard-core	7	2
107	1601	soft-core	7	2
103912	342706	accessory	7	2
827263	1084682	exclusive	7	2
1115845	1831808	pan	7	3
33	662	hard-core	7	3
173	2740	soft-core	7	3
168704	604151	accessory	7	3
946968	1224917	exclusive	7	3
830988	1235619	pan	7	4
11	220	hard-core	7	4
72	1098	soft-core	7	4
80426	252908	accessory	7	4
750490	981613	exclusive	7	4
919534	1414340	pan	7	5
22	438	hard-core	7	5
143	2074	soft-core	7	5
122258	404020	accessory	7	5
797133	1008246	exclusive	7	5
910776	1393959	pan	7	6
18	298	hard-core	7	6
76	1058	soft-core	7	6
91870	304083	accessory	7	6
818830	1088818	exclusive	7	6
858792	1271057	pan	7	7
4	57	hard-core	7	7
29	401	soft-core	7	7
73505	234520	accessory	7	7
785258	1036136	exclusive	7	7
577733	832091	pan	7	8
16	258	hard-core	7	8
90	1263	soft-core	7	8
