Name,low_value_proportion (< 0.302382)
OG2000591,0.0625
OG483148,0.0625
OG1497096,0.0625
OG453968,0.0625
OG0551813,0.0625
OG0247993,0.0625
OG1276393,0.0625
OG1708972,0.0625
OG146664,0.0625
OG2046260,0.0625
OG2076499,0.0625
OG3137072,0.0625
OG0108787,0.0625
OG1783254,0.0625
OG0357555,0.0625
OG0358193,0.0625
OG1822477,0.0625
OG2427900,0.0625
OG485073,0.0625
OG2078081,0.0625
OG667259,0.0625
OG0122434,0.0625
OG0071391,0.0625
OG0599491,0.0625
OG1243977,0.0625
OG0077550,0.0625
OG2645175,0.0625
OG498106,0.0625
OG2341680,0.0625
OG936204,0.0625
OG3106313,0.0625
OG2733372,0.0625
OG0076205,0.0625
OG0244503,0.0625
OG0468964,0.0625
OG0108009,0.0625
OG1100798,0.0625
OG0357120,0.0625
OG2007517,0.0625
OG1179781,0.0625
OG3342572,0.0625
OG1233701,0.0625
OG3085241,0.0625
OG1722898,0.0625
OG2366571,0.0625
OG2454305,0.0625
OG872483,0.0625
OG698834,0.0625
OG2297574,0.0625
OG2436342,0.0625
OG720815,0.0625
OG785216,0.0625
OG3121481,0.0625
OG2786205,0.0625
OG1077897,0.0625
OG2020971,0.0625
OG1522123,0.0625
OG470241,0.0625
OG2170804,0.0625
OG3147282,0.0625
OG0428286,0.0625
OG0481957,0.0625
OG498175,0.0625
OG0147742,0.0625
OG0456721,0.0625
OG1595124,0.0625
OG2693413,0.0625
OG139795,0.0625
OG0024929,0.0625
OG291382,0.0625
OG207047,0.0625
OG905241,0.0625
OG0196854,0.0625
OG0475814,0.0625
OG1891676,0.0625
OG2837001,0.0625
OG0126454,0.0625
OG0538946,0.0625
OG1702989,0.0625
OG2126311,0.0625
OG0255762,0.0625
OG2319030,0.0625
OG2989512,0.0625
OG0075002,0.0625
OG415719,0.0625
OG2292250,0.0625
OG0271600,0.0625
OG0534376,0.0625
OG2261578,0.0625
OG0107169,0.0625
OG2538737,0.0625
OG2037207,0.0625
OG0124502,0.0625
OG2558246,0.0625
OG69002,0.0625
OG0329114,0.0625
OG0072150,0.0625
OG628329,0.0625
OG0257682,0.0625
OG782017,0.0625
OG1755915,0.0625
OG3045610,0.0625
OG0142887,0.0625
OG0133437,0.0625
OG2150038,0.0625
OG1005706,0.0625
OG0450582,0.0625
OG0195321,0.0625
OG3381624,0.0625
OG0088348,0.0625
OG0216642,0.0625
OG0496529,0.0625
OG0247550,0.0625
OG3033016,0.0625
OG0247098,0.0625
OG0041293,0.0625
OG0109354,0.0625
OG2468152,0.0625
OG1105049,0.0625
OG1838100,0.0625
OG3297953,0.0625
OG1613968,0.0625
OG2288110,0.0625
OG748924,0.0625
OG1742614,0.0625
OG0161298,0.0625
OG1294750,0.0625
OG1526920,0.0625
OG1771604,0.0625
OG3100454,0.0625
OG236226,0.0625
OG1857708,0.0625
OG0199076,0.0625
OG1356339,0.0625
OG2797575,0.0625
OG0136927,0.0625
OG1160229,0.0625
OG2669968,0.0625
OG2750088,0.0625
OG0057609,0.0625
OG0475328,0.0625
OG280038,0.0625
OG3272778,0.0625
OG3310977,0.0625
OG0055158,0.0625
OG0149189,0.0625
OG1444083,0.0625
OG0359571,0.0625
OG63182,0.0625
OG2237367,0.0625
OG498093,0.0625
OG0087644,0.0625
OG0249437,0.0625
OG3224733,0.0625
OG0052041,0.0625
OG3388086,0.0625
OG1513276,0.0625
OG0129117,0.0625
OG3240359,0.0625
OG1206081,0.0625
OG0251252,0.0625
OG1705148,0.0625
OG0455399,0.0625
OG2503476,0.0625
OG0359955,0.0625
OG0278288,0.0625
OG1621479,0.0625
OG0196010,0.0625
OG748824,0.0625
OG0536926,0.0625
OG580060,0.0625
OG0061120,0.0625
OG2179279,0.0625
OG379742,0.0625
OG3308334,0.0625
OG2110167,0.0625
OG0168234,0.0625
OG2644233,0.0625
OG1350311,0.0625
OG2055746,0.0625
OG0052412,0.0625
OG87008,0.0625
OG2537283,0.0625
OG1416712,0.0625
OG3020197,0.0625
OG0049362,0.0625
OG0216006,0.0625
OG1151617,0.0625
OG2803536,0.0625
OG495803,0.0625
OG422391,0.0625
OG987898,0.0625
OG0470268,0.0625
OG1884534,0.0625
OG163455,0.0625
OG329770,0.0625
OG2552454,0.0625
OG0097893,0.0625
OG2839709,0.0625
OG1587512,0.0625
OG873004,0.0625
OG751518,0.0625
OG1726870,0.0625
OG0160222,0.0625
OG2084114,0.0625
OG2881336,0.0625
OG1650458,0.0625
OG0160114,0.0625
OG0071546,0.0625
OG431760,0.0625
