cluster_1	cluster_2	Jaccard	Overlap
out.5.8_5	out.1.3_11	2.6889671677108822e-05	9.936406995230525e-05
out.5.8_6	out.1.3_6	0.9986640254295849	0.9994928304670571
out.5.8_6	out.1.3_12	0.00041576898363382094	0.002301736765013601
out.5.8_7	out.1.3_3	0.0003320442204773624	0.0010495122854673417
out.5.8_7	out.1.3_4	0.00016143678740793057	0.0004938881343375726
out.5.8_7	out.1.3_7	0.9910467897222052	0.9977157673786887
out.5.8_7	out.1.3_8	0.0002811555493076545	0.0006523157208088715
out.5.8_7	out.1.3_9	0.00014288776166321355	0.00033898305084745765
out.5.8_8	out.1.3_8	0.9903791275988585	0.9999176819229503
out.5.8_8	out.1.3_11	4.502273648192337e-05	9.936406995230525e-05
out.5.8_9	out.1.3_1	6.13559668677779e-05	0.0002547554347826087
out.5.8_9	out.1.3_8	0.001750145845487124	0.0035665760869565215
out.5.8_9	out.1.3_9	0.9903756859434361	0.9961786684782609
out.5.8_10	out.1.3_1	2.0753777187448115e-05	9.039139473922083e-05
out.5.8_10	out.1.3_3	4.3404661660662356e-05	0.00018078278947844165
out.5.8_10	out.1.3_5	0.00046985121378230227	0.0016270451053059748
out.5.8_10	out.1.3_6	0.000122118760494581	0.0003615655789568833
out.5.8_10	out.1.3_10	0.9965672990063233	0.9993658845909955
out.5.8_10	out.1.3_11	0.0002840774584536717	0.0005961844197138314
out.5.8_11	out.1.3_1	2.121250689406474e-05	9.979044007584074e-05
out.5.8_11	out.1.3_3	2.2203965628261207e-05	9.979044007584074e-05
out.5.8_11	out.1.3_11	0.9953308166103716	0.9998004191198483
out.5.8_12	out.1.3_12	0.9966520192508893	1.0
out.5.8_13	out.1.3_1	0.009339254474498722	0.9131578947368421
out.5.8_13	out.1.3_3	0.0009331523583305056	0.0868421052631579
out.5.8_14	out.1.3_3	0.006273525721455458	0.8118081180811808
out.5.8_14	out.1.3_4	0.0015185350602947745	0.1881918819188192
out.5.8_15	out.1.3_1	0.005301114041224907	0.8312236286919831
out.5.8_15	out.1.3_4	0.0011918240867647934	0.16877637130801687
out.5.8_16	out.1.3_2	0.0005391906464612067	0.1450381679389313
out.5.8_16	out.1.3_5	0.004104969945755754	0.8549618320610687
out.5.8_17	out.1.3_1	0.0002954368436601939	0.09016393442622951
out.5.8_17	out.1.3_2	0.003159063095881834	0.9098360655737705
out.5.8_18	out.1.3_1	0.0007795908492163768	0.27358490566037735
out.5.8_18	out.1.3_7	0.00472421620958341	0.7264150943396226
out.5.8_19	out.1.3_2	0.0020205469706024645	0.8452380952380952
out.5.8_19	out.1.3_3	0.0003704970360237118	0.15476190476190477
out.5.8_20	out.1.3_2	0.001849638609071766	0.8024691358024691
out.5.8_20	out.1.3_4	0.00047861202512713134	0.19753086419753085
out.5.8_21	out.1.3_1	0.0005922416345869114	0.46808510638297873
out.5.8_21	out.1.3_8	0.002034836399153508	0.5319148936170213
out.5.8_22	out.1.3_3	0.0005136253388500499	0.391304347826087
out.5.8_22	out.1.3_8	0.0022797589969060414	0.6086956521739131
out.5.8_23	out.1.3_2	0.00031290891505945267	0.28205128205128205
out.5.8_23	out.1.3_7	0.0017197960813217861	0.717948717948718
out.5.8_24	out.1.3_6	0.00027614138438880706	0.15789473684210525
out.5.8_24	out.1.3_11	0.0031777557100297915	0.8421052631578947
