						origin of trimmed reads (classified by bbduk)								
Accession	Run	Strandness	Raw Reads	Trimmed Reads	% Trimmed	rfam-5.8s-database-id98	silva-bac-16s-id90	rfam-5s-database-id98	silva-bac-23s-id98	silva-arc-16s-id95	silva-euk-18s-id95	silva-arc-23s-id98	silva-euk-28s-id98	Mapping Rate
SRR5258974	KQ08-2850_top-internode	ISR	18,981,524	15,278,758	19.51	1,415	232,487	5,955	541,259	111	44,173	87	57,828	96.14
SRR5258975	KQ08-2850_top-internode	ISR	18,873,674	15,227,256	19.32	1,341	232,394	5,874	539,396	84	43,165	71	58,372	96.13
SRR5259014	KQ08-2850_bottom-internode	ISR	9,609,204	6,899,862	28.20	6,337	319,709	3,241	632,450	1,437	325,501	1,168	460,521	96.63
SRR5259015	KQ08-2850_bottom-internode	ISR	9,569,854	6,890,698	28.00	6,487	318,462	3,123	630,564	1,567	322,928	1,156	460,738	96.61
SRR5258976	KQB07-23990_top-internode	ISR	9,737,038	2,866,670	70.56	9,775	955,354	6,169	1,841,617	7,012	1,516,091	5,117	1,976,834	96.70
SRR5258977	KQB07-23990_top-internode	ISR	9,708,514	2,861,134	70.53	9,546	957,077	5,894	1,839,327	7,476	1,506,264	5,199	1,974,984	96.66
SRR5259016	KQB07-23990_bottom-internode	ISR	12,129,024	8,346,900	31.18	3,602	408,655	3,564	800,432	2,960	619,866	2,090	838,931	96.62
SRR5259017	KQB07-23990_bottom-internode	ISR	12,072,404	8,334,606	30.96	3,457	409,273	3,660	796,674	3,207	614,990	2,168	835,431	96.63
SRR5258978	KQB08-32953_top-internode	ISR	26,456,422	7,297,478	72.42	28,252	2,714,952	17,409	5,087,845	21,053	4,170,685	14,721	5,581,157	96.17
SRR5258979	KQB08-32953_top-internode	ISR	26,401,066	7,309,616	72.31	27,720	2,710,809	16,991	5,071,789	22,677	4,163,488	14,724	5,577,691	96.19
SRR5259018	KQB08-32953_bottom-internode	ISR	31,995,292	2,206,160	93.10	95,050	5,276,509	53,967	10,287,922	27,107	5,502,585	23,847	8,174,278	96.78
SRR5259019	KQB08-32953_bottom-internode	ISR	31,811,646	2,197,912	93.09	95,093	5,253,515	53,781	10,207,684	29,013	5,475,670	23,896	8,144,437	96.79
SRR5258980	KQB07-23863_top-internode	ISR	4,356,540	2,888,656	33.69	1,323	143,431	1,275	279,970	1,021	181,566	659	257,928	96.39
SRR5258981	KQB07-23863_top-internode	ISR	4,336,752	2,885,482	33.46	1,191	141,097	1,350	279,801	1,035	180,645	684	257,307	96.34
SRR5259020	KQB07-23863_bottom-internode	ISR	25,520,210	2,636,360	89.67	64,138	4,089,951	36,724	7,763,845	19,642	4,158,329	17,583	6,333,852	96.95
SRR5259021	KQB07-23863_bottom-internode	ISR	25,407,706	2,628,436	89.65	64,129	4,078,374	37,090	7,726,439	21,160	4,126,634	17,750	6,323,502	96.93
SRR5258982	QN05-803_top-internode	ISR	7,654,088	6,078,712	20.58	1,255	89,974	2,317	215,352	161	43,386	52	28,769	96.41
SRR5258983	QN05-803_top-internode	ISR	7,629,394	6,088,510	20.20	1,294	89,672	2,453	216,839	139	43,177	62	29,044	96.37
SRR5259022	QN05-803_bottom-internode	ISR	40,585,026	2,689,482	93.37	93,979	6,778,298	48,443	12,500,440	34,436	7,069,775	30,558	10,935,181	97.23
SRR5259023	QN05-803_bottom-internode	ISR	40,231,874	2,672,618	93.36	93,328	6,723,588	48,192	12,379,648	36,857	6,996,955	31,196	10,863,954	97.16
SRR5258984	QC02-402_top-internode	ISR	9,589,272	8,240,626	14.06	471	126,174	2,447	262,897	45	24,873	25	33,969	96.94
SRR5258985	QC02-402_top-internode	ISR	9,639,970	8,258,264	14.33	489	125,511	2,293	264,776	43	25,788	37	33,305	96.97
SRR5259024	QC02-402_bottom-internode	ISR	20,599,232	5,270,466	74.41	32,597	2,665,423	20,915	4,903,417	13,712	2,636,069	11,233	4,287,702	97.02
SRR5259025	QC02-402_bottom-internode	ISR	20,585,096	5,276,348	74.37	32,441	2,665,589	20,828	4,901,321	14,678	2,633,203	11,101	4,292,105	97.01
