Gene	CV
OG0000098	2.92662699968888
OG0000099	2.92634637396434
OG0000100	2.92618512145565
OG0000101	2.92612277164371
OG0000102	2.92566368858396
OG0000103	2.92514287546859
OG0000104	2.92459494488642
OG0000105	2.92441523103442
OG0000106	2.92438862675283
OG0000107	2.92430873609361
OG0000108	2.92387332391946
OG0000109	2.92347250377689
OG0000110	2.92300984749559
OG0000111	2.92238812370072
OG0000112	2.92238812370072
OG0000113	2.92147589967787
OG0000114	2.92144496330036
OG0000115	2.92064910233994
OG0000116	2.9203415511532
OG0000117	2.91995940122665
OG0000118	2.9198111355631
OG0000119	2.91907522746029
OG0000120	2.91886556973588
OG0000121	2.91860562315534
OG0000122	2.9184101301479
OG0000123	2.91787323459343
OG0000124	2.91782045253735
OG0000125	2.91758117234714
OG0000126	2.91753931744482
OG0000127	2.91722592387734
OG0000128	2.91720380959562
OG0000129	2.91702665766476
OG0000130	2.91702665766476
OG0000131	2.91618761162032
OG0000132	2.91601681701937
OG0000133	2.91567398837669
OG0000134	2.91561626408464
OG0000135	2.91528246972531
OG0000136	2.91480960618586
OG0000137	2.91459184875042
OG0000138	2.91450030504001
OG0000139	2.91355287782102
OG0000140	2.91317837211288
OG0000141	2.91264305086301
OG0000142	2.91249898758231
OG0000143	2.91249898758231
OG0000144	2.91237396346475
OG0000145	2.91185933580076
OG0000146	2.91183290491044
OG0000147	2.9112435884015
OG0000148	2.91106055976716
OG0000149	2.91069310649958
OG0000150	2.91032377826833
OG0000151	2.91013840587709
OG0000152	2.90901612323044
OG0000153	2.9088273814628
OG0000154	2.90844842581073
OG0000155	2.90825820751145
OG0000156	2.90787627881743
OG0000157	2.90736021978727
OG0000158	2.90678230460653
OG0000159	2.90671839240192
OG0000160	2.90613252803798
OG0000161	2.90593619879339
OG0000162	2.90554196414349
OG0000163	2.90537444694908
OG0000164	2.9049466349981
OG0000165	2.9038259307759
OG0000166	2.9035386226533
OG0000167	2.9035386226533
OG0000168	2.90324242688763
OG0000169	2.90324242688763
OG0000170	2.90313137814199
OG0000171	2.90300179115501
OG0000172	2.90272189269917
OG0000173	2.90251630290909
OG0000174	2.90227528111508
OG0000175	2.90210341559072
OG0000176	2.90178706202
OG0000177	2.90104882640203
OG0000178	2.90075241423933
OG0000179	2.90075241423933
OG0000180	2.90064008690606
OG0000181	2.90055267869112
OG0000182	2.90055267869112
OG0000183	2.90021669268805
OG0000184	2.90000409768335
OG0000185	2.89929807216267
OG0000186	2.89914766225188
OG0000187	2.8989320244384
OG0000188	2.89884852765945
OG0000189	2.89853535516024
OG0000190	2.89784450751549
OG0000191	2.89784450751549
OG0000192	2.89776501178855
OG0000193	2.89750651246736
OG0000194	2.89718442140285
OG0000195	2.89674115362778
OG0000196	2.8965185467585
OG0000197	2.89623608858002
OG0000198	2.89607137035022
OG0000199	2.89590336843364
OG0000200	2.89562155448473
OG0000201	2.89516907171516
OG0000202	2.89514034395347
OG0000203	2.89494182154576
OG0000204	2.89448528601729
OG0000205	2.89448528601729
OG0000206	2.89387716282893
OG0000207	2.89379399930938
OG0000208	2.8935639737787
OG0000209	2.89269995478479
OG0000210	2.89263147783841
