CriollaRayada_low-biomass	IJ76-318_high-biomass	IN84-58_high-biomass	IN84-88_high-biomass	Krakatau_high-biomass	RB72454_low-biomass	RB855156_low-biomass	SES205A_high-biomass	SP80-3280_low-biomass	TUC71–7_low-biomass	US85–1008_high-biomass	WhiteTransparent_low-biomass
OG0000011	6.90654611755626	8.09456690990558	9.38106193677814	6.74070400740944	7.43963687967022	9.98160186660918	8.68172880890387	9.20723457368195	9.60805622029382	8.81488454908891	9.15006590715487	10.1205085680431
OG0000012	9.1165134658293	11.0601312070929	12.4692651960244	10.0298122968326	10.0912827213391	11.828272264072	9.79291121719337	11.8219870919786	11.4720195186304	9.81574300324759	12.33954164771	11.9001565502771
OG0000013	9.63606806147594	9.71615456689986	11.171367236982	9.42169132186416	8.79335547461729	10.8448137332502	9.22496354591021	10.8731077049935	11.2906129027537	9.68542161907429	11.5387797531643	11.5450183182814
OG0000014	9.37249098155218	9.38556718056789	10.9540129338361	9.62923447204629	0.174386457728521	10.283400380457	8.68172880890387	10.9981969435907	10.5576649285788	8.97197232404244	10.5497965265865	10.1613705570353
OG0000015	9.37249098155218	9.25039454036642	10.8176422102466	9.1553586302978	9.83217281010287	10.8980147588325	9.34605480268725	12.0885640002526	11.3197336811733	9.32731939098518	11.0197155246844	11.0512299621229
OG0000016	13.6303663361251	13.6433419703665	15.6645199483454	12.9488796108291	13.284524555598	14.4125754575302	12.8143476443392	14.4517741028435	14.0731623112159	12.9986488889713	13.8227815381076	12.9278376139821
OG0000017	10.5606608889244	11.2054148811919	12.9445596894501	10.9808902505944	10.6286335496804	12.42434539946	11.1945479806292	12.8048373556936	12.8400217670655	10.9246427718934	12.6769292454145	12.4089727719744
OG0000018	9.67432032675953	9.87262079842107	11.7437995830531	9.33804884373919	9.33537237989245	12.3354096100594	9.86259127830844	11.1354182961438	11.8773651029866	10.5243211856692	11.029938668682	12.0531810167058
OG0000019	7.95181491674162	8.70081284517573	10.3400856989727	8.51306671604295	8.36876384268247	10.4706191108402	8.73467056796274	10.2017954080721	10.5823668192	8.91886413274301	10.1981894760493	10.7384673060713
OG0000020	8.94561324922345	7.36966434136622	9.43451978417905	7.32137930148109	7.43200087121986	9.48878888705253	8.35964378290336	9.42435174821182	10.6041972493366	8.71593812901674	10.2342966885203	10.2984847235867
