out.5.8_2687	out.1.3_14	out.5.3_2086	out.4.8_1584	out.4.3_1142	out.3.8_15	out.3.3_14	out.2.8_14	out.2.3_13	out.1.8_14 
out.5.8_2696	out.1.3_14	out.5.3_2095	out.4.8_1592	out.4.3_1150	out.3.8_685	out.3.3_14	out.2.8_14	out.2.3_13	out.1.8_14 
out.5.8_15	out.1.3_15	out.5.3_14	out.4.8_14	out.4.3_14	out.3.8_14	out.3.3_15	out.2.8_15	out.2.3_16	out.1.8_15 
out.1.8_85	out.2.3_98	out.2.8_106	out.1.3_8	out.3.3_110	out.3.8_111	out.5.8_107	out.5.3_109	out.4.8_110	out.4.3_112 
out.1.8_85	out.2.3_98	out.2.8_106	out.1.3_8	out.3.3_110	out.3.8_669	out.5.8_2656	out.5.3_2059	out.4.8_1562	out.4.3_1127 
out.5.8_18	out.1.8_16	out.5.3_18	out.4.8_19	out.3.3_17	out.2.8_17	out.2.3_15	out.1.3_16	out.4.3_20	out.3.8_20 
out.1.8_84	out.2.3_96	out.3.8_107	out.3.3_108	out.2.8_104	out.1.3_17	out.4.3_106	out.5.8_102	out.5.3_103	out.4.8_105 
out.1.8_84	out.2.3_96	out.3.8_107	out.3.3_108	out.2.8_104	out.1.3_17	out.5.8_1613	out.5.3_1254	out.4.8_1002	out.4.3_759 
out.1.8_83	out.1.3_8	out.2.8_97	out.2.3_91	out.3.3_103	out.3.8_590	out.5.8_2304	out.5.3_1770	out.4.8_1335	out.4.3_975 
out.5.8_1262	out.1.3_16	out.5.3_1023	out.4.8_845	out.4.3_20	out.3.8_20	out.3.3_17	out.2.8_17	out.2.3_15	out.1.8_16 
out.5.8_1277	out.1.3_16	out.5.3_1031	out.4.8_855	out.4.3_659	out.3.8_20	out.3.3_17	out.2.8_17	out.2.3_15	out.1.8_16 
out.5.8_1689	out.1.3_16	out.5.3_1305	out.4.8_19	out.4.3_20	out.3.8_20	out.3.3_17	out.2.8_17	out.2.3_15	out.1.8_16 
out.5.8_1768	out.1.3_16	out.5.3_18	out.4.8_19	out.4.3_20	out.3.8_20	out.3.3_17	out.2.8_17	out.2.3_15	out.1.8_16 
out.1.8_82	out.2.3_89	out.2.8_96	out.3.3_99	out.1.3_9	out.3.8_577	out.5.8_2249	out.5.3_1721	out.4.8_1299	out.4.3_949 
out.1.8_82	out.2.3_89	out.2.8_96	out.3.3_99	out.1.3_9	out.3.8_636	out.5.8_2545	out.5.3_1965	out.4.8_1488	out.4.3_1072 
out.5.8_2079	out.1.3_16	out.5.3_1593	out.4.8_1204	out.4.3_20	out.3.8_20	out.3.3_17	out.2.8_17	out.2.3_15	out.1.8_16 
out.5.8_2546	out.1.3_16	out.5.3_1966	out.4.8_1489	out.4.3_1073	out.3.8_637	out.3.3_337	out.2.8_17	out.2.3_15	out.1.8_16 
out.5.8_2588	out.1.3_16	out.5.3_2003	out.4.8_1519	out.4.3_20	out.3.8_20	out.3.3_17	out.2.8_17	out.2.3_15	out.1.8_16 
out.5.8_2667	out.1.3_16	out.5.3_2070	out.4.8_1571	out.4.3_20	out.3.8_20	out.3.3_17	out.2.8_17	out.2.3_15	out.1.8_16 
out.5.8_16	out.1.3_17	out.5.3_16	out.4.8_16	out.4.3_16	out.3.8_16	out.3.3_16	out.2.8_18	out.2.3_18	out.1.8_19 
out.3.8_95	out.1.3_9	out.3.3_94	out.2.8_91	out.2.3_85	out.1.8_80	out.4.3_92	out.5.8_87	out.5.3_87	out.4.8_89 
