Name,low_value_proportion (< 0.084980)
OG0343665,0.0
OG0343771,0.0
OG0344003,0.0
OG0339679,0.0
OG0339557,0.0
OG0339279,0.0
OG0339112,0.0
OG0334457,0.0
OG0334958,0.0
OG0335105,0.0
OG0335253,0.0
OG0335270,0.0
OG0336105,0.0
OG0336128,0.0
OG0336199,0.0
OG0337049,0.0
OG0337228,0.0
OG0337250,0.0
OG0337268,0.0
OG0337270,0.0
OG0363083,0.0
OG0337296,0.0
OG0337336,0.0
OG0337553,0.0
OG0337710,0.0
OG0337857,0.0
OG0337877,0.0
OG0337980,0.0
OG0338180,0.0
OG0338274,0.0
OG0338427,0.0
OG0338559,0.0
OG0338915,0.0
OG0338955,0.0
OG0338994,0.0
OG0337327,0.0
OG0363141,0.0
OG0363300,0.0
OG0363423,0.0
OG0397335,0.0
OG0397602,0.0
OG0397677,0.0
OG0397741,0.0
OG0398070,0.0
OG0398202,0.0
OG0398504,0.0
OG0398606,0.0
OG0398722,0.0
OG0398909,0.0
OG0398936,0.0
OG0400025,0.0
OG0400286,0.0
OG0400314,0.0
OG0400326,0.0
OG0400373,0.0
OG0400451,0.0
OG0400970,0.0
OG0401158,0.0
OG0401495,0.0
OG0401555,0.0
OG0401698,0.0
OG0402187,0.0
OG0402392,0.0
OG0402921,0.0
OG0403023,0.0
OG0403317,0.0
OG0396572,0.0
OG0403427,0.0
OG0395960,0.0
OG0395598,0.0
OG0392010,0.0
OG0392024,0.0
OG0392257,0.0
OG0392335,0.0
OG0392384,0.0
OG0392480,0.0
OG0392506,0.0
OG0392620,0.0
OG0393121,0.0
OG0393157,0.0
OG0393216,0.0
OG0393247,0.0
OG0393577,0.0
OG0393735,0.0
OG0393786,0.0
OG0394002,0.0
OG0394055,0.0
OG0394180,0.0
OG0394213,0.0
OG0394214,0.0
OG0394531,0.0
OG0394572,0.0
OG0394576,0.0
OG0394898,0.0
OG0395367,0.0
OG0395567,0.0
OG0395584,0.0
OG0395753,0.0
OG0403513,0.0
OG0403545,0.0
OG0403606,0.0
OG0409142,0.0
OG0409702,0.0
OG0409842,0.0
OG0409860,0.0
OG0409870,0.0
OG0410279,0.0
OG0410501,0.0
OG0410527,0.0
OG0410637,0.0
OG0410692,0.0
OG0410695,0.0
OG0410866,0.0
OG0410883,0.0
OG0410972,0.0
OG0411027,0.0
OG0411230,0.0
OG0411461,0.0
OG0411810,0.0
OG0411879,0.0
OG0412022,0.0
OG0412047,0.0
OG0412057,0.0
OG0412247,0.0
OG0412906,0.0
OG0413125,0.0
OG0413211,0.0
OG0413392,0.0
OG0408974,0.0
OG0408715,0.0
OG0408712,0.0
OG0408405,0.0
OG0403764,0.0
OG0403903,0.0
OG0404384,0.0
OG0404411,0.0
OG0404475,0.0
OG0405344,0.0
OG0405413,0.0
OG0405472,0.0
OG0405561,0.0
OG0405717,0.0
OG0405728,0.0
OG0406377,0.0
OG0406580,0.0
OG0391511,0.0
OG0406628,0.0
OG0406908,0.0
OG0407575,0.0
OG0407618,0.0
OG0407622,0.0
OG0407630,0.0
OG0407644,0.0
OG0407675,0.0
OG0407813,0.0
OG0407915,0.0
OG0407955,0.0
OG0408113,0.0
OG0408280,0.0
OG0408387,0.0
OG0406827,0.0
OG0326446,0.0
OG0391480,0.0
OG0389246,0.0
OG0369415,0.0
OG0369477,0.0
OG0369965,0.0
OG0369979,0.0
OG0370212,0.0
OG0370513,0.0
OG0376142,0.0
OG0376163,0.0
OG0376224,0.0
OG0376407,0.0
OG0376518,0.0
OG0377020,0.0
OG0377152,0.0
OG0377194,0.0
OG0377410,0.0
OG0377413,0.0
OG0377424,0.0
OG0378255,0.0
OG0378266,0.0
OG0378434,0.0
OG0378838,0.0
OG0378914,0.0
OG0379369,0.0
OG0379448,0.0
OG0379524,0.0
OG0379780,0.0
OG0380113,0.0
OG0369273,0.0
OG0380236,0.0
OG0369106,0.0
OG0368620,0.0
OG0363639,0.0
OG0363736,0.0
OG0363750,0.0
OG0363862,0.0
OG0363970,0.0
OG0364275,0.0
OG0364773,0.0
OG0365138,0.0
OG0365164,0.0
OG0365274,0.0
OG0365648,0.0
OG0365934,0.0
OG0366265,0.0
OG0366353,0.0
OG0366388,0.0
OG0366451,0.0
OG0367084,0.0
OG0367098,0.0
OG0367192,0.0
OG0367359,0.0
OG0367414,0.0
OG0367912,0.0
